,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
0,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Сервису Яндекс.Карты нужны внимательные, тактичные и любознательные операторы с чувством юмора — обновлять данные в базах, следить за их верностью и актуальностью.   Что вы будете делать: совершать звонки по сценарию задания;обновлять сведения в базе данных. Для работы потребуются: грамотный устный и письменный русский язык;умение работать с большими массивами информации;навыки уверенной работы на компьютере;тихое место на время работы;ноутбук или стационарный компьютер с ОС не ниже Windows 7;гарнитура;подключённый кабельный высокоскоростной интернет. Мы ждем, что вы: хотите и умеете помогать другим людям;вежливы, но не занудны;внимательны к деталям и всегда доводите дело до конца;не устаёте от однообразных задач;можете работать дома, не отлынивая и не отвлекаясь на очередной эпизод сериала;любите узнавать новое;готовы к насыщенному рабочему дню. Что мы предлагаем: работу из дома или любой точки, где есть стабильный интернет;бесплатную ip-телефонию;частичную занятость, гибкий график 4 часа в день 5 дней в неделю (будни) в дневное время с 8 до 20 по Москве;официальное оформление на работу по совместительству с первого дня обучения;сдельную оплату;удалённое оплачиваемое обучение.    ",,Частичная занятость,Нет опыта,,,Оператор саll-центра,2020-12-08T13:22:04+0300,,Удаленная работа,,
1,Ханты-Мансийск,Ростелеком,,,Полная занятость,От 1 года до 3 лет,,,Проведение презентаций,2020-12-15T08:47:55+0300,,Полный день,Активные продажи|B2B Продажи|Ведение переговоров|Заключение договоров|Поиск и привлечение клиентов|Проведение презентаций|,
2,,Сервисный центр Транстелематика,(Подработка)   ,"Обязанности: Сервисное обслуживание, ремонт, монтаж: систем видеонаблюдения на пассажирском транспорте, систем мониторинга и контроля пассажирского транспорта, систем информирования пассажировТестирование и настройка оборудованияПроведение пусконаладочных работ (ПНР) устанавливаемого оборудованияРабота по заявкамВыезды на объект   ",Проектная работа,От 1 года до 3 лет,,15000,Администрирование сетевого оборудования,2020-12-31T10:30:19+0300,Требования: Опыт работы с электрикой и со слаботочными системамиСобранность   ,Сменный график,Электрические системы и слаботочные системы|Монтаж оборудования|Монтаж инженерных систем|Ремонт ПК|Техническое обслуживание|ОПС|СКУД|Системы видеонаблюдения|Системы охранно-тревожной сигнализации|Производство строительно-монтажных работ|Администрирование сетевого оборудования|,Условия: Оформление по ГПХРабота по заявкамВозможность совмещения с основным местом работы
3,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,,Полная занятость,От 3 до 6 лет,,100000,Управление командой,2020-12-18T14:50:11+0300,,Полный день,Python|Django Framework|Java|PostgreSQL|Linux|MySQL|Разработка ПО|SQL|СУБД|Управление командой|,
4,,Газпром нефть,,Обязанности: Обслуживание и сопровождение программного обеспечения систем АСУТПУстранение отказов в работе оборудования АСУТПВыполнение технического обслуживания систем АСУ ТПМониторинг состояния АСУТПОформление технической документацииКонсультация пользователей ,Полная занятость,От 1 года до 3 лет,,,Ориентация на результат,2020-12-22T11:54:56+0300,Требования: Профильное высшее образованиеОпыт работы по специальности от 1-го года ,Вахтовый метод,Пользователь ПК|Документальное сопровождение|Ориентация на результат|,"Условия: Работа в стабильной, динамично развивающейся компании ·Перспектива профессионального ростаРасширенный социальный пакет (ДМС, страхование жизни)Бонус по результатам деятельностиУровень оплаты труда обсуждается по итогам собеседованияПостоянная позиция в штате компанииВахтовый метод работы"
5,,Яндекс,"Яндекс — крупнейшая поисковая система и IT-компания, разрабатывающая сервисы и инструменты для пользы людей. «Помогать людям решать задачи и достигать своих целей в жизни» — именно так звучит миссия компании. Сегодня насчитывается более 80 сервисов Яндекса, и многие из них можно использовать для продвижения бизнеса.<br />Мы ищем боевого менеджера по продажам. Ваша главная задача — предлагать готовые решения (контекстную рекламу) B2B-клиенту, чтобы он мог вывести бизнес на новый уровень.<br />Мы готовы предоставить вам свободный выбор места и времени работы. Если вы разделяете наши взгляды, то мы будем рады вам в нашей команде!   ",,Частичная занятость,От 1 года до 3 лет,,20000,Менеджер по продажам B2B,2020-12-26T09:13:47+0300,,Удаленная работа,,Условия:<br />• официальное оформление по ТК РФ;<br />• сдельно-премиальная оплата труда;<br />• работа в максимально комфортных условиях — в любом городе и прямо из дома;<br />• гибкий рабочий график: по будням четыре часа подряд в промежутке с 09:00 до 18:00 по московскому времени.  
6,Ханты-Мансийск,Газпром нефть,<em>,"Обязанности: осуществлять техническую поддержку (2-я линия) стандартного набора инфраструктурных сервисов (корпоративная почта, антивирусное ПО и ПО резервного копирования данных, файл-сервер, домен ActiveDirectory, серверы баз данных и др.),поддерживать АРМ на базе MS Windows (подготовка, установка, настройка), работать с тонкими клиентами (Citrix),консультировать пользователей по работе прикладного и системного ПО,следить, чтобы наши принтеры, сканеры и другая техника исправно работали,сопровождать мероприятия с использованием видео-конференц-связи,обеспечивать бесперебойное функционирование периферийных устройств, при необходимости организовывать ремонтные работы. ",Полная занятость,От 1 года до 3 лет,,,Техническая поддержка,2020-12-14T10:08:22+0300,"Требования: вы отлично разбираетесь в Windows 7/8/10,у вас есть опыт работы с Microsoft Office 2010/2013/2016,вы уверенный пользователь ActiveDirectory (работа с АРМ и пользователями). ",Полный день,Citrix|Windows 7|Windows Xp|Обеспечение антивирусной защиты|Техническая поддержка|,"Условия: работа в стабильной, динамично развивающейся компанииперспектива профессионального роста, возможность обученияДМС, страхование жизнигодовой бонус по результатам деятельности"
7,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,,Полная занятость,От 1 года до 3 лет,,30000,Пользователь ПК,2020-12-18T14:50:36+0300,,Полный день,Договорная работа|Деловая переписка|Деловое общение|Заключение договоров|Деловая этика|Навыки переговоров|Ведение переписки|Корпоративная этика|Работа в команде|Умение планировать|Умение расставлять приоритеты|Пользователь ПК|,
8,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,"Cпециалисты института реализуют сложные, масштабные государственные проекты по нескольким направлениям: Государственные информационные системы, информационные системы для нефтедобывающей отрасли, информационно-космические и геоинформационные технологии, информационная безопасность, создание информационно-телекоммуникационных систем и образовательная деятельность. Занимаются прикладными научными исследованиями в области информационных технологий. Мы ищем профессионалов, способных мыслить глобально и создавать тренды. Мы приглашаем на работу человека способного погрузится в новые задачи и усилить нашу команду. ",,Полная занятость,От 3 до 6 лет,,100000,Vuex,2020-12-18T14:49:48+0300,,Полный день,HTML|CSS|1С-Битрикс|Планирование|руководство командой разработчиков|HTML5|frontent|VueJS|Vuex|,
9,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,"Обязанности: Выполнение работу по проектированию, внедрению и сопровождению программно-технических средств защиты информации в информационных системахПроведение анализа и изучение возможных источников и каналов утечки информации Проведение самостоятельной настройки программного обеспечения по защите информации и персональных данных в информационных системах  ",Полная занятость,Нет опыта,,50027,Windows 7,2020-12-18T14:50:32+0300,"Требования: Высшее образование (Информационные системы и технологии)Навыки работы с офисным пакетом программ, системой электронного документооборота ",Полный день,Электронный документооборот|Обучение и развитие|Информационные технологии|Windows 7|,
