,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
15742,15742,Москва,Автоэкспресс,"Мы ищем в нашу команду менеджера, который быстро вольется в работу.<br />В нашей компании очень ценится самостоятельность, адекватность и честность.<br />",Обязанности: - Продажа услуг компании. - Самостоятельный поиск новых клиентов. - Взаимодействие с текущими клиентами. - Подготовка материалов к загрузке на сайт. - Развитие новых направлений. - Обработка входящих звонков. - Учет.     ,Полная занятость,Нет опыта,110000.0,35000.0,Менеджер по продажам,2020-09-29T18:54:15+0300,"Требования: - Самостоятельность. - Уверенный пользователь ПК, уверенное владение офисным пакетом (Word, Excel, интернет, почта). - Аккуратность, внимательность, бесконфликтность, пунктуальность, исполнительность, ответственный подход к работе.   ",Полный день,"[{'name': 'Пользователь ПК'}, {'name': 'Прием и распределение телефонных звонков'}, {'name': 'Поиск информации в интернет'}, {'name': 'Электронная почта'}, {'name': 'B2B Продажи'}, {'name': 'Активные продажи'}, {'name': 'B2C продажи'}, {'name': 'Холодные звонки'}, {'name': 'Холодные продажи'}]",Условия: График работы: понедельник - пятница 9.00 до 18.00 с перерывом на обед. Испытательный срок: 2 месяца. Оклад 35-000 (на руки) + хороший процент. Полностью белая ЗП.
578,578,,Квалити,,"Обязанности: поиск и привлечение новых клиентов, подписание договороввыполнение плана продаж отдела ",Полная занятость,От 1 года до 3 лет,110000.0,40000.0,Руководитель отдела продаж / менеджер по развитию,2020-09-23T13:05:48+0300,Требования: опыт продаж услуг связи - от 2-х летопыт продаж радиоканалов приветствуется ,Удаленная работа,"[{'name': 'Бюджетирование'}, {'name': 'Обучение персонала'}, {'name': 'Планирование продаж'}, {'name': 'Прямые продажи'}]","Условия: первые 3 месяца - работа по договору подряда, затем - по трудовому договорупо договору подряда выплачивается разовая премия в размере до 100 % от месячной абонентской платы клиента (в зависимости от маржинальности конкретной сделки)оклад и премия по трудовому договору оговариваются индивидуально по итогам первых трех месяцев работывозможна частичная занятость"
5655,5655,Москва,Лаборатория информационных технологий,,,Полная занятость,От 1 года до 3 лет,110000.0,40000.0,Менеджер по продажам,2020-10-14T11:39:35+0300,"Требования, которые мы предъявляем к кандидату: Опыт работы в b2b продажахРабота удаленная, подразумевает высокую степень самоорганизацииБудь готов к постоянному обучению. Мы предоставим все материалы, наши технологии и любые источникиОпыт продаж CRM будет плюсом   ",Удаленная работа,"[{'name': '1С: CRM ПРОФ'}, {'name': 'CRM'}, {'name': 'битрикс24'}, {'name': 'B2B Продажи'}, {'name': 'Управление продажами'}, {'name': 'менеджер по работе с клиентами'}, {'name': 'клиентский менеджер'}, {'name': 'IT'}, {'name': 'Автоматизация'}, {'name': '1С'}, {'name': 'Развитие продаж'}, {'name': 'Развитие ключевых клиентов'}, {'name': 'Ведение переговоров'}, {'name': 'Прямые продажи'}, {'name': 'amoCRM'}, {'name': 'salesforce'}, {'name': 'vtiger'}, {'name': 'bpmonline'}, {'name': 'продажи 1с'}, {'name': 'продавец 1с'}, {'name': 'продажи crm'}]",
12678,12678,Москва,Битрейт,В связи с расширением штата специалистов по ремонту компьютеров идёт набор на вакансию «Мастер по ремонту компьютеров».,"В обязанности мастера по ремонту компьютеров будут входить: Диагностика неисправностей компьютеров, ноутбуков, моноблоков;Модернизация, настройка, сборка, аппаратный и программный ремонт компьютеров;Установка и настройка программного обеспечения;Устранение вирусов и смс-баннеров;Замена комплектующих;Работа с клиентами – физические лица и юридические лица. ",Полная занятость,Нет опыта,110000.0,45000.0,Мастер по ремонту компьютеров,2020-10-13T11:30:39+0300,,Гибкий график,"[{'name': 'Навыки продаж'}, {'name': 'Ремонт ПК'}, {'name': 'Сборка ПК'}, {'name': 'Настройка ПК'}, {'name': 'Настройка ПО'}, {'name': 'Обучение и развитие'}, {'name': 'Техническое обслуживание'}]","Условия работы в нашей компании: Стабильно 3 заказа в день;Гибкий график работы 5/2 (с выбором выходного дня) или 2/2;Время работы с 10 до 19, с 12 до 21;Выплата до 50% с заказа;Собственный склад запчастей;Собственный сервис по пайке оборудования, полный цикл ремонта внутри компании;Обучение внутри компании, по итогам выдается сертификат;Выплата заработной платы день в день; "
394,394,Москва,Zecurion,"Компания Zecurion, один из крупнейших игроков ИБ-рынка в сфере разработки DLP-систем, объявляет конкурс на закрытие вакансии ",,Полная занятость,От 1 года до 3 лет,110000.0,50000.0,Маркетолог в IT-компанию,2020-09-25T13:06:12+0300,"Требования Опыт работы маркетологом или менеджером продукта от полугода.Опыт работы в сфере IT будет большим плюсом.Аналитические способности, умение структурировать информацию, навыки документирования исследований (Microsoft Word, Excel, PowerPoint).Отличные коммуникативные навыки, умение договариваться с людьми.Грамотный русский язык. ",Полный день,"[{'name': 'Маркетинговый анализ'}, {'name': 'Маркетинговые исследования'}, {'name': 'Аналитические исследования'}, {'name': 'Анализ конкурентной среды'}, {'name': 'Запуск новых продуктов'}, {'name': 'Сбор и анализ информации'}]",
1082,1082,,Авиант,Без поиска клиентов и холодных звонков. Полный рабочий день. Можно работать удаленно или в офисе (м. Шоссе Энтузиастов) <br />,,Полная занятость,От 1 года до 3 лет,110000.0,50000.0,Менеджер по продажам,2020-09-18T14:11:40+0300,,Удаленная работа,"[{'name': 'CRM'}, {'name': 'Грамотная речь'}, {'name': 'Навыки переговоров'}, {'name': 'Управление отношениями с клиентами'}, {'name': 'Навыки работы с возражениями'}, {'name': 'Деловая переписка'}, {'name': 'Прием и распределение телефонных звонков'}, {'name': 'Навыки продаж'}, {'name': 'Телефонные переговоры'}, {'name': 'Активные продажи'}, {'name': 'Битрикс24'}]","Условия: Оплата: первый месяц 30К фикс (возможны бонусы), далее сделка 8-12% от каждой сделки (доход не ограничен, в среднем: от 50K, опытные менеджеры зарабатывают от 80К);График работы: быть на связи с 9.00 до 18.00 (по Мск) и уделять работе "
16330,16330,Москва,Авиант,Без поиска клиентов и холодных звонков. Полный рабочий день. Можно работать удаленно или в офисе (м. Шоссе Энтузиастов) <br />,,Полная занятость,От 1 года до 3 лет,110000.0,50000.0,Менеджер по работе с клиентами,2020-10-05T17:46:29+0300,,Удаленная работа,"[{'name': 'CRM'}, {'name': 'Грамотная речь'}, {'name': 'Навыки переговоров'}, {'name': 'Управление отношениями с клиентами'}, {'name': 'Навыки работы с возражениями'}, {'name': 'Деловая переписка'}, {'name': 'Прием и распределение телефонных звонков'}, {'name': 'Навыки продаж'}, {'name': 'Телефонные переговоры'}, {'name': 'Активные продажи'}, {'name': 'Битрикс24'}]","Условия: Оплата: фикс + 8-12% от каждой сделки (доход не ограничен, в среднем: от 50K, опытные менеджеры зарабатывают от 80К);График работы: с 9.00 до 18.00 (по Мск) полный рабочий день;Перспектива роста до руководителя отдела;Полная автоматизация внутренних процессов, демократичный стиль управления. "
14219,14219,Москва,Студия ELiTES,,,Проектная работа,От 3 до 6 лет,110000.0,60000.0,PHP-программист,2020-09-24T00:11:17+0300,"Требования: Отличное знание: PHP5, в том числе ООП, mysql, gd, iconv, XMLMySQL5 (JOIN, вложенные запросы)понимание различных видов web-серверов (Apache, NGIX)mod_rewrite и другие модули ApacheJavascript (Ajax, jQuery)HTML, CSS Опыт разработки динамических сайтов (портфолио), желательно с нуляОпыт работы с различными CMSСпособность быстро разбираться в чужом коде (PHP, JavaScript) ",Удаленная работа,"[{'name': 'CSS'}, {'name': 'HTML'}, {'name': 'HTML5'}, {'name': 'Adobe Photoshop'}, {'name': 'MySQL'}, {'name': 'XML'}, {'name': 'jQuery'}, {'name': 'PHP5'}, {'name': 'JavaScript'}, {'name': 'PHP'}, {'name': 'phpMyAdmin'}, {'name': 'Создание сайтов'}]","Условия работы: испытательный срок 1 месяц (может быть продлен до 2-х месяцев)заработная плата по результатам собеседования, после прохождения испытательного срока - по результатам работыработа в офисе (офис находится в 10 мин. ходьбы от метро &quot;Улица 1905 года&quot;, 15 мин. от метро &quot;Выставочная&quot;, &quot;Краснопресненская&quot;)5-ти дневная рабочая неделяграфик работы с 10:00-19:00, час на обед (возможен график с 9:00 до 18:00)оформление по ТК "
16966,16966,Москва,Гуднэт,"Эта вакансия для тех, кто умеет результативно работать в продажах В2В и строить долгосрочные партнерские отношения с клиентом. Мы занимаемся оказанием полного спектра диджитал услуг. Мы продаем размещение рекламы в интернет, внедрение сложных CRM систем, решения по автоматизации бизнеса и многое другое. Наши услуги продаются от 190 тыс. рублей до 2 млн. В основе успешных продаж лежат долгосрочные взаимоотношения с клиентами и проведение результативных встреч на уровне руководства компаний. Успешных кандидатов мы готовы обучать бесплатно. ","Обязанности: Совершение полного цикла B2B продаж до момента рассмотрения коммерческого предложенияЗвонки по теплой базе коммерческих организаций (предприятий малого, среднего, крупного бизнеса из различных отраслей)Проведение встреч и презентаций диджитал продуктов компанииВыход на ЛПР с целью выявить заинтересованность в услугах компанииСоставление коммерческих предложений и договоровВедение клиентов в CRM-системеПодготовка и проведение мероприятий. Бизнес завтраки, семинары и т д.Посещение отраслевых мероприятий (форумы, выставки, семинары)Выполнение планов по количеству звонков и переданных клиентовВыполнение планов продаж ",Полная занятость,От 1 года до 3 лет,110000.0,60000.0,Менеджер по работе с корпоративными клиентами,2020-10-14T12:48:38+0300,"Требования: Высшее или среднее специальное образованиеГрамотная устная и письменная речьКоммуникабельность, неконфликтностьСтрессоустойчивость, энергичность, высокая скорость мышления, трудолюбие, порядочность, исполнительность, аккуратностьОпыт работы с договорами и первичными бухгалтерскими документамиПК - уверенный пользовательОпыт в продажах ",Полный день,[],"Условия: Работа в молодом коллективеКомфортные условия труда и современная инфраструктураДемократичный стиль управленияОбучение за счет работодателяОформление по ТК РФВозможности профессионального и карьерного ростаСовременный офис 5 мин. пешком от м. ЭлектрозаводскаяОклад 40000 рублей на испытательный срок + % с продаж Ждем ваших писем и звонков. Пишите, звоните, и лучшие из вас получат место в нашей компании."
6401,6401,,GetProduction,,,Полная занятость,От 1 года до 3 лет,110000.0,65000.0,Менеджер по продажам,2020-10-14T17:24:47+0300,,Удаленная работа,"[{'name': 'Телефонные переговоры'}, {'name': 'Прямые продажи'}, {'name': 'Работа с большим объемом информации'}, {'name': 'исходящие звонки'}, {'name': 'входящие звонки'}, {'name': 'Проведение презентаций'}, {'name': 'Обучение и развитие'}, {'name': 'Навыки продаж'}, {'name': 'CRM'}, {'name': 'Клиентоориентированность'}, {'name': 'Умение работать в команде'}, {'name': 'Навыки переговоров'}, {'name': 'Пользователь ПК'}]",На каких условиях сотрудничаем: <ol> <li>прекрасные качественные продукты с огромным количеством положительных отзывовгорячие и теплые клиенты 
