,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
110,110,Зеленоград,Агропромкомплектация,,"Обязанности: Внедрение и сопровождение информационных систем на платформе 1С (Бухгалтерия, Финансист, Консолидация, Управление холдингом);Разработка нового функционала в соответствии с требованиями;Участие совместно с аналитиками в постановке задачи (составлении ТЗ) в части технической экспертизы задачи;Настройка обменов между конфигурациями и с внешними системами;Написание и доработка существующих отчетов, обработок, создание печатных форм;Участие в проектах. ",Полная занятость,От 1 года до 3 лет,,150000.0,программист 1c (финансовые системы),2020-09-29T16:14:25+0300,"Обязанности: Внедрение и сопровождение информационных систем на платформе 1С (Бухгалтерия, Финансист, Консолидация, Управление холдингом);Разработка нового функционала в соответствии с требованиями;Участие совместно с аналитиками в постановке задачи (составлении ТЗ) в части технической экспертизы задачи;Настройка обменов между конфигурациями и с внешними системами;Написание и доработка существующих отчетов, обработок, создание печатных форм;Участие в проектах. ",Полный день,"[{'name': '1С программирование'}, {'name': '1С: Бухгалтерия'}, {'name': '1С: Предприятие 8'}, {'name': 'Обновление конфигурации 1С'}]","Условия: Офис в г. Зеленоград, бизнес-центр &quot;Савелки&quot;;Оформление согласно ТК РФ;График работы 5/2 (офис);Возможность профессионального роста."
458,458,Москва,LITOKol,,"Обязанности:<br />• Сопровождение информационной системы 1С:УТ, Логистика;<br />• Работа с типовыми конфигурациями 1С УПП;<br />• Работа с не типовыми конфигурациям 1С УТ, Логистика;<br />• Работа с планами обменов и конвертацией данных;<br />• Использование интеграционных возможностей платформы для взаимодействия с внешними учётными системами;<br />• Проведение обновлений, в том числе измененных стандартных конфигураций;<br />• Разработка отчетов и печатных форм.<br /> ",Полная занятость,От 3 до 6 лет,,,программист 1c,2020-10-14T14:37:58+0300,"Требования:<br />• Высшее образование;<br />• Опыт работы от 3 лет в качестве специалиста по внедрению проектов на 1С: ERP, УПП, Консолидация, УХ, Управление торговлей, Зарплата и управление персоналом, Бухгалтерия предприятия;<br />• Знание платформы 1С 8.3 на уровне Специалиста;<br />• Опыт работы с обычными и управляемыми формами;<br />• Опыт реализации обменов;<br />• Уверенное знание объектной модели и типовых механизмов платформ 1С 8;<br />• Опыт работы на проектах внедрения программных продуктов 1С. ",Полный день,[],"Условия:<br />• Работа в стабильной компании с развитой корпоративной культурой;<br />• Полное соблюдение ТК РФ;<br />• Корпоративный транспорт от м. Площадь Ильича;<br />• Официальная заработная плата (оклад, годовая премия);<br />• График работы 5/2 с 9-18 ( в офисе)"
596,596,Москва,Системы Нефть и Газ,,"Обязанности: Сопровождение конфигураций 1С ERP+1С УПО, 1С:Документооборот",Полная занятость,От 3 до 6 лет,,,программист 1c erp,2020-10-12T09:13:09+0300,"Требования: Опыт работы с платформами 1С Предприятие 8, не менее 3 лет;Знакомство с конфигурациями: 1С ERP (или 1С УПП), 1С Документооборот;Знание и умение работать с: Расширениями 1С;Языком запросов;СКД;Конвертацией данных;Управляемыми формами. Знание основ SQL (навыки администрирования);Наличие сертификатов: 1С:Специалист по платформе «1С: Предприятие 8». ",Полный день,[],"Условия: Отличная Компания для отличных Людей;Официальная заработная плата, обсуждается с успешным кандидатом;Полное соблюдение ТК РФ;График работы 09.00-18.00, 5/2.Возможности для профессионального развития;Офис м. Академическая "
731,731,Электроугли,МАРТИН,,"Обязанности: Доработка функционала не типовых конфигураций 1С, разработка новых подсистем по техническим заданиям;Разработка и настройка средств обмена данными с внешними информационными системами;Разработка нового функционала, обработок, отчетов и изменение существующих в соответствии с процессами предприятия;Консультирование пользователей, написание инструкций, проведение обучения; ",Полная занятость,От 1 года до 3 лет,,,программист 1c,2020-10-15T15:25:11+0300,"Требования:  1С 8.2 и 8.3 (простые и управляемые формы;  конфигурации бухгалтерия, торговля, УПП, ЗУП  обмены между конфигурациями и версиями 1с  желателен опыт подключения торгового оборудования (кассы, сканеры, терминалы) к разным конф. 1с  приветствуется навыки программирования на других языках (драйверы, базы данных)  работа в офисе (не удаленно)  командировки (не часто)  ПРИВЕТСТВУЕТСЯ: хорошие знания бухгалтерского и налогового учета, опыт в самостоятельной реализации задач в отраслевых конфигурациях 1С Предприятие 8.3  ",Полный день,"[{'name': '1С: Зарплата и управление персоналом'}, {'name': '1С: Управление Производственным Предприятием'}, {'name': '1С: Бухгалтерия'}, {'name': '1С программирование'}, {'name': '1С: Предприятие 8'}]","Условия: график работы с 9:00 до 18:00трудоустройство согласно ТК РФоплачиваемый больничный и отпуск (28 к.д.)Уважаемый соискатель! Мы не рассматриваем кандидатов на удаленную или проектную работу, мы ищем сотрудника, который нацелен на долговременную и плодотворную работу в нашей компании. Готовы предложить комфортные условия, хорошее настроение, дружный коллектив, своевременную и достойную оплату труда!РАБОТА В ГОРОДЕ ЭЛЕКТРОУГЛИ (НОГИНСКИЙ РАЙОН) Горьковское направление"
779,779,Москва,Байкал-Сервис,Транспортная компания,"Обязанности: Участие в проектах по доработке нетиповых конфигурации Компании на платформе 1С Предприятие 8.3 (на базе Управление торговлей 8);Разработка новых функциональных подсистем, отчётов, обработок;Работа по задачам в составе группы разработчиков и бизнес-аналитиков; ",Полная занятость,От 1 года до 3 лет,,,программист 1c,2020-09-28T14:16:32+0300,"Требования: Опыт разработки с платформой 1С 8.х от 2-х лет;Опыт работы с нетиповыми конфигурациями 1С;Желание развиваться в направлении разработки для высоконагруженных информационных систем, а также построения корректной архитектуры новых программных продуктов/подсистем;Знания механизмов технологической платформы 1С Предприятие 8.3; ",Полный день,[{'name': '1С программирование'}],"Условия: Работа в крупной и стабильной компании, более 25 летФинансовые условия обсуждаются индивидуально с успешным кандидатомРабота в слаженном коллективе профессионалов;Оформление по ТК РФГрафик работы 5/2Стабильная компания! Нам не страшны никакие кризисы!!Место работы: ул. Электродная м. Шоссе Энтузиастов, в пешей доступности от МЦК и жд станции Перово."
907,907,Москва,Открытие Факторинг,,,Полная занятость,От 1 года до 3 лет,,,ведущий программист 1c,2020-09-20T22:05:53+0300,,Полный день,"[{'name': 'SQL'}, {'name': '1С: Бухгалтерия'}, {'name': 'Бухгалтерский учет'}, {'name': '1С программирование'}, {'name': '1С: Зарплата и управление персоналом'}]","Мы предлагаем: Работу в крупнейшей финансовой группе России по размеру активов, в Компании с яркой корпоративной культурой, сильной командой, дружным коллективом, творческой атмосферой;График работы 5/2, с 9:00 до 18:00 (готовы обсуждать разные варианты);Полное соблюдение ТК, «белая» заработная плата, социальный пакет (ДМС, возможность обучаться в спорт школе &quot;I Love Supersport&quot; на льготных условиях);Плюшки, кофе, яркие корпоративные события;Уровень дохода обсуждается индивидуально с успешным кандидатом.    "
1129,1129,Москва,"ВЕСТА, Логистическая компания",,Обязанности: Автоматизация бизнес-процессов в 1С 8.3 (управляемые формы) по ТЗ;Разработка новых и модификация существующих печатных форм для клиентов (ключевой участок). ,Полная занятость,От 3 до 6 лет,100000.0,,программист 1c,2020-10-13T16:31:09+0300,"Требования: Опыт работы - от 3-х лет;Опыт работы с управляемыми формами, СКД на 1С8.3.- обязателен и не менее 3-х лет;Желателен опыт разработки конфигуриции &quot;с нуля&quot;, либо опыт внедрения серьезных доработок типовых конфигураций1С (на управляемых формах);Приветствуется опыт работы с 1С:Бухгалтерия 2.0 и 1С:ЗУП 3.0; Опыт сбора требований к системе и анализа бизнес-процессов Компании; Умение видеть конечную цель пользователя и готовность вести обсуждение (с пользователем-заказчиком) для достижения наилучшего результата;Умение пользоваться механизмом замера производительности;Всестороннее тестирование разработок до сдачи заказчику (Заказчик не должен выступать тестировщиком и отлавливать мелкие ошибки и несоответствия ТЗ);Высшее или неполное высшее образование;Ответственность, пунктуальность, умение самостоятельной работы/работы под контролем руководителя проекта, принятие критики и замечаний, достижение взаимопонимания с &quot;трудными&quot; пользователями, красивый функциональный код. ",Полный день,[],"Условия: Работа в крупной международной транспортной компании в команде программистов (8 человек);Официальное трудоустройство по ТК;График работы: пятидневка (суббота, воскресенье - выходные дни) c 9:00 до 18:00 или 10:00 до 19:00;Заработная плата обсуждается индивидуально;Офис расположен по адресу: Варшавское шоссе, д. 125Ж, корпус 6 (м. Южная)"
1133,1133,,Машиностроительное конструкторское бюро Факел имени академика П.Д.Грушина,,"Обязанности: участие во внедрении и дальнейшее сопровождение конфигураций 1С 8: Документооборот, ERP, Кадры;создание новых модулей и доработка существующих под бизнес-процессы компании;интеграция 1С с ERP-системами;написание инструкций для пользователей;поддержка пользователей, консультации. ",Полная занятость,От 1 года до 3 лет,150000.0,120000.0,программист/разработчик 1c,2020-10-12T11:08:15+0300,"Требования: хорошее знание платформы 1С 8.3;знание языка запросов SQL;знание механизмов управляемых форм, понимание клиент-серверного взаимодействия формы;умение писать код, понятный другим участникам команды;администрирование серверов 1С. ",Полный день,"[{'name': '1С: Документооборот'}, {'name': '1С программирование'}, {'name': '1С: Предприятие 8'}, {'name': '1С: Зарплата и управление персоналом'}]","Условия: Интересные задачи на одном из ведущих предприятий (разработка зенитных управляемых ракет);Полное соблюдение ТК РФ (официальная заработная плата, оплачиваемые больничные и отпуска);Обучение и повышение квалификации;Социальный пакет (ДМС, ОМС);Столовая с демократичными ценами;Бесплатный корпоративный транспорт, курсирующий по городу Химки;Частичная компенсация расходов на аренду жилья иногородним работникам (обсуждается индивидуально);Место работы Московская область, г. Химки (ближайшие метро Москвы Речной вокзал, Ховрино, Селигерская, Планерная, Петровско - Разумовская). Станция Химки расположена в 15 - 20 минутах ходьбы пешком."
1148,1148,,Вератис,"Если коротко, то наша команда автоматизировала такие крупнейшие компании как DHL (логистика) , Интер РАО (энергетика), Динамо (хоккей), Едадил (кэшбек), Промсвязьбанк (банк), Вкуснотеево (молочное производство) более 10 машиностроительных заводов и 30 торговых компаний. Всего более 100 проектов успешно реализованных. У нас есть свои отраслевые решения, которые продаются. Мы выстроили хороший поток лидов (на данный момент около 20 заявок в день, в пике 25) по всем направлениям (КА, ЕРП, УНФ, БП, УТ, ЗУП, Отраслевые решения, аренда, ...) и нам нужен человек с опытом продажи 1С продуктов, проектов, аренды 1С, который не боится трудностей и хочет создать команду в продажах. Нам нужен не только жадный продажник )) но и тот, который будет выстраивать систему ценностей для клиента ...   ","Обязанности: <ol> <li>Выполнение плана по объему продаж, рентабельности подразделенияСоздание и развитие отдела продаж, анализ, контроль, регулирование текущей работы сотрудников с клиентамиУвеличение конверсии по существующей клиентской базеФормирование и развитие источников клиентов (поиск и развитие каналов входящего запроса, как пример возможных к развитию существующих каналов: Сайт, Агенты, 1С, Партнеры)Повышение эффективности технологии (бизнес-процесса) продаж. Разработка методик и инструкций по продажамФормирование предложений по повышению сбыта: рекламные акции, семинары и т.д.Набор и ввод новых сотрудников в работу, их обучение, проведение внутренних аттестаций, повышение квалификации сотрудниковИнформационная поддержка сотрудников: информирование об изменении перечня продуктов и услуг, доведение до сведения регламентов и инструкций. Проведение собраний в отделе. Разработка рекламных материалов и прайс-листовВзаимодействие с руководителями других подразделений Компании</li> </ol>   ",Полная занятость,От 3 до 6 лет,300000.0,60000.0,менеджер отдела продаж 1c,2020-09-29T00:18:56+0300,"Требования: 1. опыт работы в 1С:Франчайзи от 3-х лет - желательно, высшее образование 2. опыт работы руководителем отдела продаж или ведущим менеджером от 1 года (как преимущество) 3. отличное знание технологии продаж на рынке В2В 4. опыт использования CRM для работы с клиентами 5. опыт разработки планов по продажам и их выполнения 6. опыт обучения, мотивации, постановки задач сотрудникам 7. опыт методической работы, разработки регламентов работы подразделения 8. знание программы 1С(УТ 11, УНФ, БП) на уровне пользователя 9. эмпатия и убедительность в общении 10. письменная коммуникация 11. соблюдение стандартов работы 12. приверженность Компании 13. нацеленность на результат   ",Удаленная работа,"[{'name': 'Целеустремленность'}, {'name': 'проактивность'}, {'name': 'Коммуникативные навыки'}, {'name': 'Деловая этика'}, {'name': 'Ориентация на результат'}, {'name': 'честность'}, {'name': 'Работа в команде'}, {'name': 'Управление персоналом'}, {'name': 'Управление продажами'}, {'name': 'Управление проектами'}, {'name': 'Обучение персонала'}, {'name': 'Поиск и привлечение клиентов'}, {'name': 'Клиентоориентированность'}, {'name': 'Развитие продаж'}, {'name': 'Заключение договоров'}, {'name': 'Обучение и развитие'}]","Условия: <ol> <li>Оклад 60 000 + % от продаж (совокупный доход 80 000 - 250 000)график работы: пн-пт с 9:30 до 18:00, обед - полчасаиспытательный срок 3 месяцакурсы повышения квалификации по 1С и продажам на внутренних и внешних курсахполный рабочий деньудаленная работа</li> </ol>  "
1285,1285,,Курьер Сервис Экспресс,,Обязанности: Разработка программного обеспечения на платформе 1С 8.3;Анализ потребностей пользователей;Выработка детальных требований к функционалу;Тестирование разработанного функционала. ,Полная занятость,От 1 года до 3 лет,180000.0,100000.0,программист 1c,2020-09-24T09:47:03+0300,,Полный день,[],"Условия: Офис находится в шаговой доступности от метро Кожуховская и станции МЦК Угрешская, в удобном расположении от основных магистралей (рядом с ТТК);График работы 5/2;Официальное оформление по ТК;Заработная плата обсуждается по итогам собеседования;Комфортный офис. Дружный коллектив;Участие в корпоративных мероприятиях."
