,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
157,157,Москва,Pyrus,,,Полная занятость,От 1 года до 3 лет,200000.0,,backend-разработчик c#,2020-10-14T13:00:42+0300,,Полный день,"[{'name': 'PostgreSQL'}, {'name': 'C#'}, {'name': '.NET Core'}, {'name': 'Docker'}]",
240,240,,Процессинговая Компания Пэйтерра,Приглашаем тебя в команду проекта ,"Обязанности<br />• Реализация нового и доработка имеющегося функционала<br />• Проектирование и реализация сервисов<br />• Доработка и улучшение системы (рефакторинг, оптимизация)<br />• Разработка панели администрирования (Blazor)<br />• Отладка и исправление багов<br />• Мониторинг системы <br />",Полная занятость,От 1 года до 3 лет,180000.0,,.net core backend разработчик,2020-10-15T15:30:57+0300,,Удаленная работа,"[{'name': 'PostgreSQL'}, {'name': 'SQL'}, {'name': 'Start-up project'}, {'name': 'Наполнение контентом'}, {'name': 'E-Commerce'}]",
258,258,,Пэйстикс,,Обязанности:<br />Разработка и поддержка административного web кабинета клиентов компании. Оптимизация и расширение функционала имеющегося кода. Работа с базой данных. Разработка технической документации.<br />Стек технологий:<br />Административный кабинет: ASP.NET + Bootstrap 4 + JQUERY.<br />База данных: MS SQL ,Полная занятость,От 1 года до 3 лет,50000.0,50000.0,инженер-программист (backend-разработчик),2020-10-14T14:05:27+0300,"Требования:<br />​​​​​​Уверенное знание JavaScript (ajax) + jquery поскольку это основной инструмент работы. Знание С#, ASP.NET. Знание WPF - приветствуется. Git. Понимание платформы Microsoft SQL Server, в т.ч. опыт написания запросов на Transact SQL, обязательно понимание конструкций JOIN: INNER, LEFT, RIGHT, FULL, CROSS. Желательно знание HTML/DHTML, XML, SOAP, WCF Services. Английский язык, технический... ",Полный день,"[{'name': 'jQuery'}, {'name': 'HTML'}, {'name': 'Transact-SQL'}, {'name': 'ASP.NET'}, {'name': 'C#'}]","Условия: Офис в 5 минутах от м. Ленинский Проспект<br />График работы 5/2 с 10-19, возможность частично удаленной работы.<br />Заработная плата 50т.р.<br />Испытательный срок 1 месяц."
319,319,,Selecty,,,Полная занятость,От 3 до 6 лет,,,web-разработчик (backend),2020-10-13T14:57:47+0300,,Гибкий график,[{'name': 'PHP'}],
396,396,Москва,СберЛизинг,,,Полная занятость,От 1 года до 3 лет,,,backend разработчик (java),2020-10-02T23:00:21+0300,,Полный день,"[{'name': 'Java'}, {'name': 'Git'}, {'name': 'SQL'}, {'name': 'Java SE'}, {'name': 'ООП'}]",
522,522,Москва,ФГУП НПП Гамма,,Обязанности:  Разработка REST сервисов на DRF  Разработка клиентов для работы со сторонними API  Участие в проектировании  Взаимодействие с frontend разработчиками  ,Полная занятость,От 1 года до 3 лет,,,python разработчик (backend),2020-10-12T13:40:58+0300,"Требования:  Опыт разработки на Python не менее 2-х лет  Хорошие знания Python 3+  Умение работать с git  Опыт работы с реляционными базами данных  Опыт работы с фреймворками django, django-rest-framework (DRF)  Начальные знания по JavaScript  ",Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'PostgreSQL'}, {'name': 'Django Framework'}, {'name': 'Linux'}, {'name': 'DRF'}]",Условия: Оформление согласно ТК РФ;Официальная заработная плата;Конкурентный уровень заработной платы по рынку;Возможность выбрать время начала рабочего дня. 
551,551,Москва,СевенПро,,"Обязанности: Работа в стеке технологий: Java, Spring, k8s ",Полная занятость,От 3 до 6 лет,,,java backend developer,2020-10-08T10:31:26+0300,Требования: ,Полный день,[],Условия: Оформление по ТК РФ Корпоративная мобильная связь ДМС Дружный коллектив
553,553,Москва,Александрия,,,Полная занятость,От 3 до 6 лет,,250000.0,backend typescript разработчик (node.js),2020-10-13T20:33:25+0300,,Полный день,"[{'name': 'TypeScript'}, {'name': 'Node.js'}, {'name': 'vue.js'}, {'name': 'PostgreSQL'}, {'name': 'Redis'}, {'name': 'MySQL'}, {'name': 'Game Programming'}, {'name': 'gamedev'}, {'name': 'express.js'}, {'name': 'JavaScript'}, {'name': 'REST'}]",Что по условиям: 
632,632,,Devexperts,"Мы ищем java-разработчика в backend-команду для работы над серверной частью умного ассистента трейдера. Мы разрабатываем универсального помощника, который умеет общаться как текстом, так и голосом в нескольких каналах связи. Сейчас у нас уже поддерживается Яндекс.Алиса, Telegram, Viber, Facebook и Google Assistant. Мы постоянно работаем над новыми командами, которым учим нашего ассистента, а также над улучшением пользовательского опыта. У нас настоящий CI/CD (в TeamCity) с мержами непосредственно в прод (скоро будем в AWS), двухнедельные спринты, используем git для управления версиями, JIRA – для отслеживания задач, bitbucket – для код-ревью. ",,Полная занятость,От 3 до 6 лет,,,middle/senior java developer (backend and microservices),2020-09-25T17:57:19+0300,,Удаленная работа,"[{'name': 'Java'}, {'name': 'Kotlin'}, {'name': 'SpringBoot'}, {'name': 'REST'}]",
672,672,,РАСЧЕТНЫЕ РЕШЕНИЯ,Инновационная компания ,,Полная занятость,От 1 года до 3 лет,,,backend разработчик .net,2020-10-15T10:08:09+0300,"Требования: Знание .NET, C#Опыт разработки на ASP.NET MVC, .NET CoreПонимание основных шаблонов и паттернов проектированияОпыт работы с Git/SVNТехнический английский ",Полный день,"[{'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'MVC'}, {'name': 'C#'}]","Условия: &quot;Белая&quot; заработная плата, ДМСГрафик работы 5/2, c 9:00 до 18:00 либо с 10:00 до 19:00Комфортное рабочее место в БЦ &quot;Варшарка SKY&quot;, м. Южная"
