,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
41,41,,Payture,"После карантина команда Payture продолжает активно работать, расти и искать своих героев! Если вы готовы вместе с нами развивать технологичный e-commerce в России, добро пожаловать! Финтех компания Payture — это, в первую очередь, люди. Payture разрабатывает и внедряет лучшие платежные решения в отрасли благодаря квалификации, энергии и вовлеченности каждого члена команды. Мы любим то, что делаем, и каждый здесь на своем месте. В Payture нет бюрократии — поэтому любые вопросы решаются очень быстро. Мы ценим открытую коммуникацию и доверяем друг другу. А в свободное время часто собираемся, чтобы поиграть в настолки, выбраться на природу или просто съесть пиццу. ",,Полная занятость,От 3 до 6 лет,,,разработчик c#,2020-10-13T19:21:04+0300,,Полный день,[],
54,54,Москва,СИГМА,,Обязанности: Разработка программного обеспечения систем технологического управления. ,Полная занятость,От 3 до 6 лет,,,ведущий разработчик c#,2020-09-28T09:49:15+0300,"Требования: Знание и умение применять принципы объектно-ориентированного программирования и основные паттерны проектирования;Опыт разработки коммерческих продуктов на C# от 2-3 лет;Опыт разработки кроссплатформенных систем;Опыт работы с ASP.NET (Core / MVC / WEB API/ WPF / WebForms/ EF);Навык веб-разработки (HTML5/CSS/JavaScript/TypeScript);Опыт работы с хотя бы с одним из фреймворков (Angular, React, Vue);Опыт работы с PostgreSQL, MS SQL;Умение проводить ревью кода;Умение пользоваться git для повседневной разработки;Умение оптимизировать производительность приложений и баз данных;Проведение технического анализа. <em>Будет вашим преимуществом опыт работы с:</em> Высоконагруженными и отказоустойчивыми системами;Промышленными протоколами передачи данных (Modbus, OPC DA, OPC HDA, МЭК 104);В проектах по электроэнергетике;Понимание принципов IoT;Docker и Kubernetes;Компонентами Telerik Kendo;ГИС системами;Библиотеками Machine Learning.    ",Полный день,[],Условия: Оформление в соответствии с ТК РФ;Конкурентная заработная плата (обсуждается индивидуально с успешным кандидатом);ДМС после испытательного срока;Доступ к корпоративной электронной библиотеке.
157,157,Москва,Pyrus,,,Полная занятость,От 1 года до 3 лет,200000.0,,backend-разработчик c#,2020-10-14T13:00:42+0300,,Полный день,"[{'name': 'PostgreSQL'}, {'name': 'C#'}, {'name': '.NET Core'}, {'name': 'Docker'}]",
158,158,,МТС,"Создаём Портал управления инфраструктурой. Целевая аудитория – внутренние пользователи, в основном Продуктовые команды МТС, которым для решения своих задач требуется ИТ инфраструктура. Пишем на C# ASP.Net. Создаётся новая команда и нам требуется Ведущий Разработчик с опытом разработки продуктов &quot;с нуля&quot; до стадии вывода в коммерческую эксплуатацию.   ","Обязанности:  Анализ требований. Разработка программной структуры backend и frontend приложений;  Взаимодействие с заказчиком по вопросам дизайна, юзабилити, функциональности;  Разработка модулей и систем, Code review. Рефакторинг кода;  Разработка интеграционных решений. Разработка API для использования как внутренними, так и внешними сервисами. Тестирование интеграции с корп. системами;  Реализация backend части модуля интеграции системы хранения тех. документов с корпоративным порталом;  Создание схемы базы данных. Программирование ядра и функционала (совместно с командой);  Создание механизма WorkFlow для каждого типа объектов инфраструктуры;  Помощь в организации CI/CD (исправление скриптов). Покрытие функциональности unit тестами. Работы по оптимизации производительности работы портала;  Участие в оформлении документации.    ",Полная занятость,От 3 до 6 лет,,,ведущий разработчик c# asp.net,2020-10-06T15:38:34+0300,Требования:  Опыт разработки продуктов &quot;с нуля&quot; до стадии вывода в промышленную эксплуатацию;  Cтек технологий (продвинутый уровень): C# .Net (желательно Core); ASP.NET MVC + WebApi; Entity Framework; SQL; JavaScript; HTML / CSS;  Опыт работы по гибкой методологии Agile (scrum). Опыт работы в Jira;  Владение техническим английским языком (чтение тех. документации);  Саморазвитие и активная позиция.    ,Полный день,[],
248,248,Москва,ИндаСофт,,Обязанности: - Поддержка существующего программного обеспечения - Развитие и улучшение ПО компании - Реализация нового функционала - Декомпозиция и согласование требований ,Полная занятость,Более 6 лет,240000.0,180000.0,senior c# разработчик (fullstack),2020-10-07T12:17:55+0300,"Требования: - Хорошее знание платформы .NET ; - Хорошее знание C#, опыт применения в боевых проектах - Знание синтаксиса SQL, опыт проектирования моделей данных - Хорошее знание JavaScript, jQuery - Знание современных подходов к проектированию архитектур систем и организации кода - Опыт командной работы и знание средств контроля кода (TFS, GIT) ",Полный день,"[{'name': 'Git'}, {'name': 'JavaScript'}, {'name': 'jQuery'}, {'name': 'AngularJS'}, {'name': 'C#'}, {'name': 'ASP.NET'}, {'name': '.NET Framework'}, {'name': 'WCF'}]","Условия: Оформление по ТК РФ. Полностью белая ЗП. Оплата полиса ДМС. Компенсация занятий спортом. Стабильная компания, на рынке более 20 лет. Обещаем профессиональный коллектив, возможности роста и развития."
302,302,Москва,Актион Технологии,"Не будем повторять то, что написано о нас на страничке «О компании». Там ты найдешь ответы на вопросы &quot;Кто мы?&quot;, &quot;Почему сейчас ищем людей?&quot; и &quot;Что стратегически нами задумано?&quot;, букв немного, вся суть передана, цифры говорят сами за себя! ",,Полная занятость,От 3 до 6 лет,,,team lead c# (.net),2020-10-12T10:25:36+0300,,Полный день,[],
303,303,,"Лента, федеральная розничная сеть",,,Полная занятость,Более 6 лет,,,lead/senior c#/.net разработчик,2020-10-15T14:32:07+0300,,Удаленная работа,"[{'name': 'ASP.NET MVC'}, {'name': 'C#'}, {'name': 'MS SQL Server'}, {'name': 'WebApi 2.0'}, {'name': 'TeamCity'}, {'name': 'Octopus Deploy'}, {'name': 'JavaScript'}]",
315,315,Москва,Лаборатория Касперского,,,Полная занятость,От 1 года до 3 лет,,,senior automation test engineer (c#),2020-10-07T19:32:22+0300,,Полный день,"[{'name': 'MS SQL'}, {'name': 'Linux'}, {'name': 'Функциональное тестирование'}, {'name': 'SQL'}, {'name': 'Test case'}, {'name': 'С#'}, {'name': 'QA'}, {'name': 'JavaScript'}, {'name': 'Selenium IDE'}, {'name': 'Windows'}]",
459,459,Москва,Mindbox,,,Полная занятость,От 3 до 6 лет,270000.0,200000.0,c# разработчик (full-stack / back-end),2020-10-14T12:29:20+0300,,Гибкий график,"[{'name': '.NET Framework'}, {'name': 'C#'}, {'name': 'MS SQL'}, {'name': 'LINQ'}]",Условия работы Прозрачные грейды: разработчиков до 
523,523,,OFFPRICE,,,Полная занятость,От 1 года до 3 лет,,,разработчик oracle/c# / developer oracle/c#,2020-10-14T10:37:28+0300,,Полный день,"[{'name': 'ORACLE'}, {'name': 'Oracle Pl/SQL'}, {'name': 'SQL'}, {'name': 'C#'}, {'name': 'Проектирование пользовательских интерфейсов'}, {'name': 'Оптимизация бизнес процессов'}]",
