,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
104,104,,Храмцова Полина Владимировна,,,Полная занятость,От 1 года до 3 лет,,100000.0,c++ game developer,2020-10-15T10:33:13+0300,,Удаленная работа,"[{'name': 'gamedev'}, {'name': 'C++'}, {'name': 'cocos'}, {'name': 'cocos2d'}]",
374,374,,HUAWEI,,,Полная занятость,От 3 до 6 лет,,,database developer/ automatic code analysis researcher (c/c++),2020-09-21T21:10:09+0300,,Полный день,[],
584,584,Москва,101XP,,Обязанности:  Разработка и поддержка клиентской части мобильной игры на Cocos 2dx для iOS и Android  ,Полная занятость,От 3 до 6 лет,,,c++ developer lead,2020-10-13T10:44:58+0300,Требования:  Отличное знание C++  ,Полный день,"[{'name': 'Android'}, {'name': 'ООП'}, {'name': 'C++'}, {'name': 'Cocos 2dx'}]",Условия:  Комфортный офис в районе ст. м. Строгино/Щукинская  Работа с лучшими игровыми приложениями от ведущих разработчиков  Перспективы карьерного роста  Заработная плата обсуждается индивидуально с успешными кандидатами  
634,634,Москва,Cellar door,,,Полная занятость,От 1 года до 3 лет,10000.0,,c++ developer (berlin),2020-09-18T10:16:37+0300,,Полный день,"[{'name': 'Английский язык'}, {'name': 'C++'}, {'name': 'алгоритмы'}, {'name': 'структуры данных'}]",
639,639,Москва,NVIDIA,"NVIDIA&#39;s GPUs and SOCs are the world leaders in performance and efficiency, and we are continually innovating in creative and unique ways to improve our ability to deliver extraordinary solutions in a wide range of sectors. We are seeking System Software Engineers who are passionate about what they do and are committed to making a difference in the world through their inventions. As part of the Software Developer Tools Team, we are responsible for enabling 1st &amp; 3rd-party developers to turn NVIDIA&#39;s chips into groundbreaking consumer, professional, server, mobile, and automotive solutions. ",,Полная занятость,От 3 до 6 лет,,,"senior developer tools engineer, c++ & qt",2020-10-14T11:41:43+0300,,Полный день,"[{'name': 'Linux'}, {'name': 'Qt'}, {'name': 'C++'}]",
775,775,Москва,L3 Technologies,,,Полная занятость,От 1 года до 3 лет,90000.0,60000.0,разработчик c++/python,2020-10-13T15:02:15+0300,,Полный день,"[{'name': 'Python'}, {'name': 'C++'}, {'name': 'Linux'}]",
799,799,,Parallels,"Parallels Inc., a global leader in cross-platform solutions, makes it simple for customers to use and access the applications and files they need on any device or operating system. We help businesses and individuals securely and productively use their favorite devices and preferred technology, whether it’s Windows®, Mac®, iOS, AndroidTM, Chromebook, Linux or the Cloud. Parallels solutions enable seamless delivery of virtual desktops and applications to any device, running Windows on a Mac, Mac management with Microsoft SCCM, and remote access to PCs and Mac computers from any device. Recently, Parallels became part of the Corel Corporation and joins an impressive collection of industry leading brands, including CorelDRAW, WinZip, ClearSlide, and MindManager. ",,Полная занятость,От 1 года до 3 лет,,,junior c/c++,2020-10-14T16:44:45+0300,,Полный день,[{'name': 'C++'}],
980,980,,"Русские базовые информационные технологии, Научно-производственное объединение",,"Обязанности: Разработка ПО и доработка существующего на C++ (Qt5)Разработка GUI на QtWidgets/QMLУчастие в проектировании архитектуры различных системРазработка преимущественно десктоп приложений. Много работы с GUI, поэтому ищем человека с хорошим чувством вкуса и знанием основных принципов UX.Используем в работе: kanban-like workflow, Gitlab, Jira, Confluence. ",Полная занятость,От 3 до 6 лет,,,инженер-программист linux c++ (qt/qml),2020-10-15T01:09:40+0300,Требования: Опыт разработки на C++Хорошее знание Qt5Опыт разработки многопоточных приложенийПонимание ООПЗнание Linux на уровне опытного пользователяУмение пользоваться системами контроля версий (Git)Чтение документации на английском языке ,Полный день,"[{'name': 'Qt'}, {'name': 'Git'}, {'name': 'C++'}, {'name': 'Linux'}, {'name': 'ООП'}, {'name': 'Разработка ПО'}]","Условия: Участие в разработке приложений для Astra Linux OS.Множество разнообразных задач: разработка элементов интерфейса, архитектуры, бекенда, скриптов, анализ различных opensource решений и т.д.Работа возможна как в команде, так и самостоятельно. Оформление в соответствии с ТК РФ  Перспективы роста  Офис в 2 минутах ходьбы от станции метро Нагатинская "
1019,1019,,Auriga,"АУРИГА — российско-американская компания, ведущий разработчик программного обеспечения на заказ для зарубежных и российских клиентов – открывает вакансию",Обязанности: Разработка программного обеспечения на C++ в соответствии со строгими стандартами по разработке медицинского ПО.Разработка юнит-тестов.Код-ревью. ,Полная занятость,От 1 года до 3 лет,,,младший разработчик c++,2020-10-08T18:18:49+0300,"Требования: опыт разработки ПО на C++ от 1 года.Windows 10.Английский язык: на уровне, достаточном для устного общения (от Intermediate). ",Гибкий график,"[{'name': 'C++'}, {'name': 'Python'}, {'name': 'Windows 10'}]","Условия: Стабильная заработная плата, выплачиваемая день-в-день.Хорошая корпоративная программа ДМС со стоматологией, скорой помощью, вызовом врача на дом и льготным подключением родственников в лучших клиниках региона.Мы фанаты гибкого графика, баланса работы и отдыха, во многих проектах есть возможность иногда работать из дома (все это не исключает 8-часовой рабочий день!)Офисы, оборудованные всем необходимым для комфортной работы и отдыха: у нас широкий выбор чая и зерновой кофе, фрукты, кухни во всех офисах, теннисные столы, игровые приставки, места для отдыха, турники.Неравнодушные к вашим проблемам hr, к которым всегда можно обратиться. Мы очень ценим наш коллектив, микроклимат и домашнюю атмосферу.Обучение английскому в офисе, в случае необходимости возможны интенсивные курсы, упор на разговорную практику.Помогаем сотрудникам «не стоять на месте», отправляем на тренинги, подключаем к онлайн-ресурсам, проводим внутренние тренинги на регулярной основе, закупаем необходимую литературу по запросам инженеров.Из другого региона? Поможем с переездом в случае необходимости.Офис: м. Южная."
1025,1025,,NetworkOptix,,,Полная занятость,От 3 до 6 лет,,4000.0,senior c++ developer (server+cloud),2020-10-13T19:30:55+0300,,Полный день,"[{'name': 'Linux'}, {'name': 'iOS'}, {'name': 'C++'}, {'name': 'Android'}, {'name': 'MS SQL'}]",
1034,1034,,NetworkOptix,,,Полная занятость,От 3 до 6 лет,,3500.0,"technical support engineer (c++, nx meta)",2020-10-14T20:30:50+0300,,Полный день,"[{'name': 'Windows'}, {'name': 'Mac Os'}, {'name': 'Linux'}, {'name': 'Networks'}, {'name': 'English'}, {'name': 'Python'}]",
1100,1100,,FUSION CORE,,,Полная занятость,От 1 года до 3 лет,,,клиентский разработчик c++ (gamedev),2020-10-12T18:27:33+0300,,Полный день,"[{'name': 'Python'}, {'name': 'C++'}, {'name': 'Unity'}, {'name': 'Разработка технических заданий'}, {'name': 'MS Visual Studio'}, {'name': 'Cocos2d'}]",
1134,1134,Москва,ЛАЙФСТРИМ,Компания ,,Полная занятость,От 1 года до 3 лет,,,разработчик c++ в команду видео-инфраструктуры (backend),2020-10-15T12:05:02+0300,"Требования: Знание C++ и классических структур данныхОпыт написания многопоточных приложенийВ поисках решений иногда быть готовым просидеть до утра или выходныеОпыт разработки в Linux, знать GNU coreutilsИспользование системы контроля версий (мы используем Git)Стремление к оптимизациям. Меньше кода - меньше проблемУмение ясно объяснять архитектурные решенияВладение английским языком для чтения технической литературыУмение писать рабочий код быстро, с последующим рефакторингом в надёжный и поддерживаемый. ",Гибкий график,"[{'name': 'C/C++'}, {'name': 'TCP/IP'}, {'name': 'UDP'}, {'name': 'Git'}]",
1283,1283,Москва,The Skolkovo Institute of Science and Technology,"Сколтех (Skoltech) — международный университет и крупный исследовательский центр, созданный в 2011 году. Мы активно развиваем технологии искусственного интеллекта и промышленного IoT и создаем решения и продукты, которые используют крупнейшие российские и зарубежные компании: Huawei, MTS, Kaspersky Lab, Philips, Сбербанк, «Газпром нефть» и др. С 2019 Skoltech - ","Обязанности: Вы будете разрабатывать компоненты стека протоколов уровня L2/L3 программного обеспечения базовой станции 5G.Вы будете нести ответственность за то, чтобы программный стек 5G L2/L3 был быстрым, эффективным и надежным, включая: Анализ и оптимизацию производительности (профилирование, анализ утечек памяти и т.п.);Разработку дополнительных функций и методов оптимизации с использованием как проприетарных, так и открытых фреймворков и инструментов компонентов системного программного обеспечения (компиляторы, библиотеки, гипервизоры),Разработку средств для повышения безопасности и надежности. Вы будете участвовать в портировании ПО на различные аппаратные архитектуры, включая Intel x86, ARM и т.п.Вы будете улучшать и предлагать удобные инструменты разработки вашим коллегам и другим группам разработки, включая: Разработку как статических, так и динамических тестовых инструментов для обеспечения CI/CD;Разработку и настройку сверхбыстрых кроссплатформенных (x86/ARM) систем сборки;Разработку других инструментов, позволяющих разрабатывать ПО и внедрять архитектурные инновации;Представлять результаты работы своей группы другим группам разработки. Учиться все время. Сколтех поощряет посещение международных конференций и митапов разработчиков, так как ожидает от своих сотрудников, что они будут оставаться «на острие» самых современных методик и технологий разработки.   ",Полная занятость,От 3 до 6 лет,,,c++ developer,2020-10-14T15:11:36+0300,"Требования: Высшее техническое образование, желательно, в области компьютерных наук или телекоммуникаций.5+ лет опыта разработки программного обеспечения, предпочтительно в области средств; разработки системного программного обеспечения или программного обеспечения безопасности.Отличное владение C/C++ (включая современные стандарты).Глубокое понимание алгоритмов эффективной и быстрой обработки большого объема данных и теории алгоритмической сложности.Опыт работы в среде Linux; углубленное знание инструментов разработки для Unix-систем.Понимание низкоуровневых принципов работы разрабатываемого ПО (опыт работы на уровне Ассемблерного кода - большой плюс).Опыт самостоятельной разработки инструментов для разработки - большой плюс.Опыт работы с Jira/Confluence/Gitlab (вкл. CI/CD)/Jenkins.Основной стек: C/C++14/17, Linux.   ",Полный день,"[{'name': 'Linux'}, {'name': 'C++'}, {'name': 'C/C++'}]",
1477,1477,Санкт-Петербург,Alber Blanc,,,Полная занятость,Более 6 лет,10000.0,,senior c++ software developer,2020-10-13T15:43:52+0300,,Полный день,[{'name': 'C++'}],
1517,1517,Москва,ФГУ ФНЦ НИИСИ РАН,"Разработка системного ПО, в том числе драйверов Linux;Исследование и разработка методов повышения производительности ключевых компонентов, их реализация;Написание технических отчетов (мы знаем, что многие программисты не любят писать отчеты, но очень ценим тех, кто берется за это). Мы бы хотели, чтобы до прихода к нам, вы самостоятельно или в компании узнали как преодолевать трудности при работе с: C/C++cross compilation Будет плюсом, если вы также разобрались с: Linux kernelLinux graphics stackX.orgLinux driver developmentReverse engineering Английский язык технический Рассматриваем кандидатов разного уровня и притязаний, в том числе студентов, готовых работать от 25 часов в неделю. График обсуждаемый, бюрократию не любим. Знакомство с кандидатами может включать: телефонное собеседованиеочное собеседованиеиспытательный срок",,Полная занятость,От 1 года до 3 лет,100000.0,,инженер-программист c / c++,2020-09-22T13:52:46+0300,,Полный день,"[{'name': 'Ansi C++'}, {'name': 'C/C++'}, {'name': 'Linux'}]",
1646,1646,,Positive Technologies,,,Полная занятость,Нет опыта,,,программист c++,2020-10-04T13:31:29+0300,,Полный день,"[{'name': 'TCP/IP'}, {'name': 'Linux'}, {'name': 'PostgreSQL'}, {'name': 'STL'}, {'name': 'SQL'}]",
1746,1746,,Лаборатория Касперского,"В рамках проекта мы разрабатываем распределенную отказоустойчивую систему по выполнению задач сборки и тестирования. На вход система принимает граф задач, описывающий процедуру сборки, и решает проблему ее эффективного исполнения на множестве серверов. В день мы исполняем 20000+ сборочных задач, описанных пользователями, используя при этом 7000 процессорных ядер на 200 серверах. В проекте участвует 5 человек, где каждый может повлиять на принимаемые решения и подходы. От нашей системы зависит большинство разработчиков компании, что делает нашу работу особенно ответственной. ",,Полная занятость,От 3 до 6 лет,,,"разработчик c++ (middle, senior) devtools",2020-09-28T11:52:26+0300,,Полный день,[{'name': 'C++'}],
1786,1786,Москва,Диалог-транс,,"Обязанности: Разработка, внедрение и сопровождение ПО для Windows, Linux ",Полная занятость,От 3 до 6 лет,60000.0,,инженер-программист c++,2020-10-13T11:31:09+0300,"Требования: Образование: ВысшееИностранные языки: Английский — средний, профессиональная терминологияОпыт программирования на C++, Visual Studio, Qt. ",Полный день,[],Условия: Постоянная работа Полный день Работа на территории работодателяРабота предполагает командировки Возможность профессионального и карьерного роста Зарплата по результатам собеседования   
1888,1888,,Star-staff,Сейчас ищу ,,Полная занятость,От 3 до 6 лет,,,senior backend developer (golang/c++/ruby/java),2020-09-29T16:29:28+0300,"Senior Backend Developer в компанию, которая разрабатывает продукт по предоставлению ликвидности - агрегирует ликвидность крупных провайдеров и предоставляет ее другим биржам (ECN) в соответствии с новыми европейскими регуляторными требованиями. Основная цель - сделать данный рынок более цивилизованным и сформировать единые стандарты поставки ликвидности (как Bloomberg в свое время на традиционной бирже). Если ты не пишешь на GoLang (например, хочешь перейти с C++, Ruby или Java), но имеешь опыт работы с трейдингом, биржами или криптой - welcome! ",Полный день,[],
1928,1928,,МУНДФИШ,"Привет!<br />Мы - геймдев студия Mundfish, сейчас работаем над одним из крупнейших проектов в СНГ, AAA игрой для ПК и консолей (Xbox, PlayStation) текущего и следующего поколений ","Обязанности: Активное участие в улучшении боевой системы, прогрессии персонажа и развитии экосистемы;Разработка новых и доработка существующих противников и навыков;Прототипирование новых игровых механик;Работа в UE4 с C++, Behavior Tree, Blueprints, Gameplay ability system, ABP и нашими внутренними инструментами;Взаимодействие с остальными участниками команды - продюсерами, аниматорами, гейм и левел дизайнерами, программистами. ",Полная занятость,От 1 года до 3 лет,,,technical designer / технический дизайнер (c++),2020-10-07T17:12:03+0300,"Требования: Опыт работы с UE4, C++ и Blueprints;Большим плюсом будет опыт работы с Behavior Tree и ABP;Личностные качества - коммуникативность, инициатива и ответственность. ",Гибкий график,"[{'name': 'C++'}, {'name': 'UE4'}, {'name': 'Unreal Engine'}, {'name': 'ABP'}, {'name': 'Blueprints'}, {'name': 'Behavior Tree'}]","Условия: Комфортный просторный офис в Москве или Санкт-Петербурге (на выбор);Участие в разработке одного из самых амбициозных и интересных проектов в СНГ;Работа с сильнейшими профессионалами, имеющими большой опыт в ААА-разработке;Возможность профессионального и карьерного роста;Гибкий график, полная оплата больничных;Достойная зарплата по результатам собеседования."
2012,2012,,"САТЕЛ, Группа компаний",,,Полная занятость,От 1 года до 3 лет,,,разработчик c++/win,2020-10-12T12:28:31+0300,Требования: ,Полный день,"[{'name': 'Git'}, {'name': 'Windows 7'}, {'name': 'Mac Os'}, {'name': 'Мобильность'}, {'name': 'MS Visual C++'}]",Условия: Работа в крупном системном интеграторе.Интересные задачи.Минимум бюрократии.Комфортный современный офис.Корпоративная мобильная связь.
2080,2080,,"Точных Приборов, НИИ",,Обязанности: решение задач автоматизации технологических процессов;разработка клиентского ПО для АСУ ТП;разработка сервисного ПО для систем сбора и отражения информации (ситуационных центров);разработка и ведение документации на ПО;участие в испытаниях в компании и на объектах заказчиков при внедрении и завершении проекта. ,Полная занятость,От 1 года до 3 лет,,90000.0,программист c++,2020-10-02T17:20:17+0300,"Требования: образование: оконченное высшее техническое;знание C++, Qt;понимание принципов ОПП, опыт применения при разработке ПО;опыт работы со средой разработки MS VisualStudio 2012-2017, Qt;понимание принципов организации реляционных БД и формирования SQL-запросов;умение разбираться в стороннем коде. Дополнительные требования: опыт работы с геоинформационными системами (&quot;Панорама&quot;, Mapinfo, ArcGis);опыт написания многопоточных программ;опыт разработки с использованием баз данных под управлением СУБД Informix, PostgreSQL, Interbase;опыт командной разработки с использованием систем контроля версий и ведения проектов (SVN, Redmine);опыт рефакторинга стороннего кода. ",Полный день,"[{'name': 'SQL'}, {'name': 'C++'}, {'name': 'MS Visio'}, {'name': 'Работа с базами данных'}, {'name': 'Разработка технических заданий'}, {'name': 'АСУ ТП'}, {'name': 'Панорама'}, {'name': 'MapInfo Professional'}, {'name': 'ArcGIS'}]","Условия: работа в социально-ответственной компании;стабильный и официальный доход;возможность карьерного роста и профессионального развития;возможность ведения научной деятельности с защитой диссертации (собственный научно-технический совет);расширенный социальный пакет (медицинское обслуживание в собственном медицинском центре, льготы и компенсации в соответствии с коллективным договором);оформление по трудовому договору в соответствии с ТК РФ;полный рабочий день, пятидневная рабочая неделя;заработная плата устанавливается по результатам собеседования.  "
2503,2503,Москва,PicsArt,"PicsArt is looking for an experienced Senior C++ Engineer to work on a highly performant C++ library that provides API for construction and execution of computational graphs, allowing execution of image processing tasks in parallel on both CPU and GPU and doing the heavy lifting for PicsArt applications. We are a team of experts with a strongly established engineering culture, developing and shipping products that directly impact hundreds of millions of users worldwide. We are seeking strong C++ engineers to join the team and help us design and build our next generation of libraries and platforms. ",,Полная занятость,От 3 до 6 лет,,250000.0,senior c++ developer,2020-10-07T12:35:12+0300,,Полный день,"[{'name': 'Objective-C'}, {'name': 'Python'}, {'name': 'Java'}, {'name': 'C++'}]",
