,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
3,3,Москва,Rambler Group,,,Полная занятость,От 1 года до 3 лет,,,data scientist (middle),2020-09-29T12:23:12+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'SQL'}, {'name': 'Git'}, {'name': 'Data Mining'}]",
24,24,,РАБЛЗ,,,Полная занятость,От 1 года до 3 лет,210000.0,150000.0,data scientist,2020-10-13T18:36:31+0300,"Минимальные требования: Умение и желание решать исследовательские задачи: уметь формулировать гипотезы, быстро их приоритезировать, валидировать их совместно с техническими коллегами и бизнес-заказчиками, объяснять их и переводить на бизнес-язык (это действительно важный пункт, а не просто красивые слова);Опыт использования ML библиотек на Python (xgboost, lightgbm, sklearn и др.), понимание областей применимости разных алгоритмов, метрик качества и математики за ними;Владение инструментами получения и выгрузки данных (SQL, Excel, etc), обработки данных (Pandas, etc), визуализации данных (Seaborn, etc) и понимание, что такие задачи занимают много времени на реальных проектах по анализу данных; ",Удаленная работа,"[{'name': 'Data Mining'}, {'name': 'Python'}, {'name': 'SQL'}, {'name': 'Pandas'}]",
215,215,Москва,"РОСБАНК, Societe Generale Group (Russia)",  ,"Обязанности: Построение математических моделей предсказания поведения клиентов (розничных и корпоративных) - логистическая регрессия, линейная регрессия, деревья, случайный лес, градиентный бустинг и т.д.Мониторинг моделей;Разработка и поддержание баз данных для моделирования;Участие в аналитических проектах и исследованиях;Реализация проектов, связанных с математическим моделированием с соблюдением сроков. ",Полная занятость,От 1 года до 3 лет,,,data scientist,2020-10-15T15:42:33+0300,"Требования: Опыт работы от 1 годаОпыт построения скоринговых моделей в SAS/ R/ Python и внедрения в практики Банка;Знание статистического моделирования и методов машинного обучения (machine learning);Опыт реализации проектов с соблюдением установленных сроков и требований к качествуЗнание английского языка (письменный и устный) – as a must,Сильные коммуникативные и презентационные навыки. ",Полный день,"[{'name': 'Python'}, {'name': 'Data Mining'}, {'name': 'Английский язык'}, {'name': 'Французский язык'}, {'name': 'Организация мероприятий'}, {'name': 'валидация моделей'}, {'name': 'Data Scientist'}]","Условия: Стабильный и прозрачный доход: зарплата и премии по результатам работыГрафик 5/2, пятница - сокращенный рабочий день31 календарный день оплачиваемого отпускаОтсутствие дресс-кодаВозможность частичной удаленной работыПрограмма ДМС, включая стоматологию и страхование при выезде за рубеж, корпоративные спортивные команды и скидки на абонементы в фитнес-клубыДополнительная оплата больничного (5 рабочих дней в год)Личностное развитие и рост: корпоративная электронная библиотека Альпина, возможность прохождения бесплатного обучения и тренингов, участия в регулярных встречах корпоративных клубов и скидки на курсы он-лайн школСкидки и привилегии по кредитам, ипотека на льготных условиях, льготные условия обслуживания и т.п.Программа корпоративных скидок и привилегий Primezone: развлечение, отдых, товары и услуги, обучениеКомфортный современный офис: зоны для отдыха и здорового питания, зоны для совместной работыПрограмма волонтерства и благотворительностиОфис - м. Красные ворота / м. Комсомольская (5 минут пешком от метро)"
297,297,Москва,PepsiCo,,,Полная занятость,Более 6 лет,,,data scientist,2020-09-25T12:33:22+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Английский язык'}, {'name': 'NRM'}, {'name': 'Pricing'}, {'name': 'Promo'}, {'name': 'Data Science'}, {'name': 'Gurobi'}, {'name': 'Cplex'}, {'name': 'Machine Learning'}, {'name': 'Artificial Intelligence'}, {'name': 'AI'}, {'name': 'ML'}]",
649,649,Москва,Star-staff,<em>Ищем опытного ,"Обязанности: Писать и оптимизаровать sql-скрипты для вычисления моделей и анализа качества данных;Разрабатывать новые и улучшать существующие модели;Подготавливать технические задания для IT подразделения для реализации новых моделей на бою;Координировать работу подразделений компании в рамках проведения тестирований (&quot;ретротестов&quot;);Участвовать в оптимизации процесса разработки, не бояться брать инициативу в свои руки;Обсуждать с партнерами как существующие модели, так и их пожелания относительно будущих продуктов. ",Полная занятость,От 1 года до 3 лет,,,data scientist (аналитик/ моделист),2020-10-13T11:51:59+0300,"Требования: Техническое образование;Опыт работы построения моделей в банковской или страховой сфере (желательно);Опыт работы с сырыми данными;Знание математической статистики, предиктивной аналитики, методов анализа больших данных, опыт использования прикладной статистики;Желание разбираться в данных.<br /><br />",Полный день,"[{'name': 'Python'}, {'name': 'Oracle Pl/SQL'}, {'name': 'SQL'}, {'name': 'Data Mining'}]",Условия: 100% белая з.п.годовой бонус (от 1 оклада)ежегодная индексация заработной платыДМС со стоматологией (софинансирование ДМС для супругов и детей)Страхование жизни и от несчастных случаевФитнес в нашем БЦ (софинансирование)Возможность изучения английского языка в офисе компанииТранспортная доступность: 
815,815,Москва,СофтТелематика,,,Полная занятость,От 3 до 6 лет,,200000.0,data scientist (computer vision),2020-10-13T10:39:46+0300,,Гибкий график,"[{'name': 'Data Analysis'}, {'name': 'machine learning'}, {'name': 'computer vision'}]",
816,816,,Банк Открытие,,"Обязанности: Разработка и оптимизация моделей и алгоритмов по выявлению мошенничества (скоринг транзакций, оценка риска клиентов и др.), анализ и выявление зависимостей и аномалий и др.;Анализ доступных источников информации, оценка качества данных для решения задач и формирование необходимых датасетов;Формулирование гипотез и их проверка;Тестирование и внедрение разработанных моделей;Оценка качества используемых моделей и формирование предложений по оптимизации в случае падения эффективности.   ",Полная занятость,От 1 года до 3 лет,,,data scientist,2020-09-25T12:50:39+0300,"Требования: Высшее математическое/техническое образование;Понимание и опыт применения математической статистики, теории вероятности, линейной алгебры;Опыт работы в области Data science от одного года;Понимание и опыт практического применения алгоритмов машинного обучения: нейронные сети, композитные алгоритмы (случайный лес, градиентный бустинг), линейноые алгоритмы (линейная и логистическая регрессия и т.д.);Опыт программирования на Python (Pandas, NymPy, SkyPy, Scikit-learn, matplotlib/seaborn/plotly и т д) / R, SAS (Base, Guide, Miner, Viya);Знание SQL и основ баз данных. <br />",Полный день,"[{'name': 'Python'}, {'name': 'Data Mining'}, {'name': 'SQL'}, {'name': 'C++'}, {'name': 'MS SQL'}]","Мы предлагаем: Стать частью крупного, динамично развивающегося Банка;Работу в команде единомышленников, неравнодушных к передовым технологиям и практикам;Неограниченные возможности для совершенствования Ваших навыков и знаний, обучаясь у лучших и решая сверхамбициозные задачи;Позитивную рабочую атмосферу, дружный коллектив;Удобное расположение офиса в центре Москвы;Достойную и конкурентную заработную плату, квартальные и годовые премии, размер которых зависит от результатов Вашей работы;Разнообразный социальный пакет: ДМС, страхование жизни, страхование для выезжающих за границу, льготные условия приобретения банковских продуктов, скидки в фитнес-клубах и в компаниях-партнерах."
820,820,,Билайн,"Наша команда каждый день работает над повышением качества связи, обеспечивая бесперебойность сервиса для клиента. Мы – это уверенность, надежность, профессионализм и внимание к деталям.<br />Если ты готов решать сложные и масштабные задачи в команде экспертов – мы ждем твое резюме!<br />Билайн признан работодателем №1 в телеком-отрасли России. И сейчас у тебя есть возможность присоединиться к лучшей команде в качестве Team Lead/Senior Data Scientist ",,Полная занятость,От 3 до 6 лет,,,team lead/senior data scientist,2020-10-13T15:51:17+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Data Mining'}, {'name': 'Java'}, {'name': 'Git'}, {'name': 'Linux'}, {'name': 'SCALA'}, {'name': 'C++'}, {'name': 'Математическая статистика'}, {'name': 'Математическое моделирование'}, {'name': 'Анализ данных'}]",
885,885,,Первая Грузовая Компания,,"Обязанности: Решение задач, связанных с построением моделей машинного обучения и разработкой цифровых продуктов, основанных на анализе данныхРабота в продуктовых командах в роли DSАнализ больших объемов данных, оценка качества датасетовРабота с БД, написание SQL запросов, применение ETL-инструментовРазработка математических моделей для решения практических задачРазработка, внедрение и поддержка моделей машинного обученияДокументирование разработанных алгоритмовОценка качества моделей, разработка методологии оценки качестваМониторинг новых методов, инструментов и подходов в области анализа данных и машинного обучения, анализ их применимостиКросс-коммуникации: взаимодействие с бизнес-экспертами, ИТ-командой ",Полная занятость,Нет опыта,,,data scientist,2020-10-06T11:50:44+0300,"Требования: Полное высшее (математическое/техническое или в области ИТ)Стек технологий: Python, SQL, ETL, DS-фреймворкиРазговорный технический английский (желательно) ",Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'Бизнес-анализ'}, {'name': 'MS Access'}]",Условия: 
1078,1078,Москва,Каршеринг Руссия,,"Обязанности:  Сбор данных из разных источников и оперативная обработка;  Анализ поведения клиентов, персонализация продуктов;  Построение скоринговых моделей и анализ эффективности по стратегическим проектам Компании;  Анализ эффективности внутренних процессов базы, моделирование клиентской базы;  Анализ различных рисков;  Составление периодических отчетов с прогнозами и презентацией данных.  ",Полная занятость,От 3 до 6 лет,,,data scientist,2020-10-06T17:49:17+0300,"Требования:  Опыт работы в аналитике/ data science от 3 лет;  Уверенные знание Теории вероятности, Мат. анализа и линейной алгебры, достаточного для чтения научных статей и проведения экспериментов;  Умение проверять статистические гипотезы, знание основных критериев;  Знание и понимание основных метрик и принципов оценки качества моделей и получаемого с их помощью результата, способов валидации моделей;  Уверенное знание python/scala (+ классический набор библиотек для анализа данных/ машинного обучения: scikit-learn, numpy, pandas, plotly/ matplotlib/ seaborn);  Опыт обучения моделей градиентного бустинга, использования одной из библиотек (Catboost, LightGBM, XGBoost);  Знание SQL, опыт работы с реляционными СУБД на уровне продвинутого пользователя;  Умение работать с Git;  Навыки работы с XGBoost, CatBoost, Vertica, ClickHouse, Hive, Spark;  ",Полный день,[],"Условия:  Работа в международном и развивающимся по всему миру сервисе;  Мы располагаемся в современном офисе недалеко от станции метро Преображенская площадь (7 мин. пешком);  График работы 5/2, 9:30-18:30;  Трудоустройство по ТК, официальная &quot;белая&quot; заработная плата с первого дня работы;  Мы предоставляем ДМС после испытательного срока, корпоративное питание и партнерские скидки. "
