,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
3,3,Москва,Rambler Group,,,Полная занятость,От 1 года до 3 лет,,,data scientist (middle),2020-09-29T12:23:12+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'SQL'}, {'name': 'Git'}, {'name': 'Data Mining'}]",
13,13,,Luxoft,,,Полная занятость,От 1 года до 3 лет,,,big data engineer,2020-09-17T11:40:27+0300,,Полный день,"[{'name': 'ETL'}, {'name': 'Hadoop'}, {'name': 'Spark'}, {'name': 'Python'}]",
24,24,,РАБЛЗ,,,Полная занятость,От 1 года до 3 лет,210000.0,150000.0,data scientist,2020-10-13T18:36:31+0300,"Минимальные требования: Умение и желание решать исследовательские задачи: уметь формулировать гипотезы, быстро их приоритезировать, валидировать их совместно с техническими коллегами и бизнес-заказчиками, объяснять их и переводить на бизнес-язык (это действительно важный пункт, а не просто красивые слова);Опыт использования ML библиотек на Python (xgboost, lightgbm, sklearn и др.), понимание областей применимости разных алгоритмов, метрик качества и математики за ними;Владение инструментами получения и выгрузки данных (SQL, Excel, etc), обработки данных (Pandas, etc), визуализации данных (Seaborn, etc) и понимание, что такие задачи занимают много времени на реальных проектах по анализу данных; ",Удаленная работа,"[{'name': 'Data Mining'}, {'name': 'Python'}, {'name': 'SQL'}, {'name': 'Pandas'}]",
130,130,Москва,Лаборатория Касперского,,"Обязанности: Разработка, поддержка и мониторинг системы обработки данных на языках Scala и PythonАнализ требований, участие в разработке планов и оценке реализацииАктивное участие в выборе и проработке технологийПроведение кодревью",Полная занятость,От 3 до 6 лет,,,разработчик bigdata (scala),2020-10-06T16:49:41+0300,"Требования: Опыт разработки распределённых систем: работа с распределенными хранилищами данных, кэшами, очередямиЗнание Scala или Java SE, при условии, что вы хотите писать на ScalaОпыт работы с Linux на уровне опытного пользователяНепрерывное профессиональное развитие, к примеру: изучение новых языков программирования, онлайн курсы, контрибьюты в открытые проекты, чтение книг, блогов, подкасты и т.д. ",Полный день,"[{'name': 'SCALA'}, {'name': 'Hadoop'}, {'name': 'Spark'}, {'name': 'Kudu'}, {'name': 'Big Data'}, {'name': 'Redis'}, {'name': 'Elasticsearch'}, {'name': 'NoSQL'}]",
139,139,,Авито,"<em>Мы бережём здоровье сотрудников, поэтому на время пандемии все команды перешли на работу из дома. Компания предоставляет технику для удалённой работы: ноутбуки, мониторы, модемы. Также мы даём доступ к софту для продуктивного взаимодействия в команде. А ещё компенсируем расходы на питание, чтобы сотрудники меньше скучали по бесплатным обедам в офисе.</em><br /><br />Авито— самый популярный сайт объявлений в России. Мы входим в топ-5 площадок рунета, топ-3 мировых классифайдов, топ-3 самых дорогих компаний рунета. Каждый месяц на Авито бывает более 47 миллионов человек — это около четверти населения России. А чтобы просмотреть все активные объявления о товарах и услугах, понадобится 441 день! Команда DWH создает платформу для решения любых аналитических задач, например: проверить гипотезу на данных (с платформой регулярно работают и самостоятельно решают задачи больше 100 аналитиков, инженеров, продактов и десятки сервисов);сделать отчет (ежедневно обновляются тысячи аналитических отчетов);залогировать событие Clickstream (в хранилище их загружаются миллиарды ежедневно) и построить метрику (их уже почти 2000);провести A/B тест (ежедневно проходят больше 100)«По нажатию кнопки» можно сделать уже многое, но впереди не меньше новых вызовов. ",,Полная занятость,От 3 до 6 лет,,,data engineer,2020-09-17T12:31:05+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'Python'}, {'name': 'Базы данных'}]",
215,215,Москва,"РОСБАНК, Societe Generale Group (Russia)",  ,"Обязанности: Построение математических моделей предсказания поведения клиентов (розничных и корпоративных) - логистическая регрессия, линейная регрессия, деревья, случайный лес, градиентный бустинг и т.д.Мониторинг моделей;Разработка и поддержание баз данных для моделирования;Участие в аналитических проектах и исследованиях;Реализация проектов, связанных с математическим моделированием с соблюдением сроков. ",Полная занятость,От 1 года до 3 лет,,,data scientist,2020-10-15T15:42:33+0300,"Требования: Опыт работы от 1 годаОпыт построения скоринговых моделей в SAS/ R/ Python и внедрения в практики Банка;Знание статистического моделирования и методов машинного обучения (machine learning);Опыт реализации проектов с соблюдением установленных сроков и требований к качествуЗнание английского языка (письменный и устный) – as a must,Сильные коммуникативные и презентационные навыки. ",Полный день,"[{'name': 'Python'}, {'name': 'Data Mining'}, {'name': 'Английский язык'}, {'name': 'Французский язык'}, {'name': 'Организация мероприятий'}, {'name': 'валидация моделей'}, {'name': 'Data Scientist'}]","Условия: Стабильный и прозрачный доход: зарплата и премии по результатам работыГрафик 5/2, пятница - сокращенный рабочий день31 календарный день оплачиваемого отпускаОтсутствие дресс-кодаВозможность частичной удаленной работыПрограмма ДМС, включая стоматологию и страхование при выезде за рубеж, корпоративные спортивные команды и скидки на абонементы в фитнес-клубыДополнительная оплата больничного (5 рабочих дней в год)Личностное развитие и рост: корпоративная электронная библиотека Альпина, возможность прохождения бесплатного обучения и тренингов, участия в регулярных встречах корпоративных клубов и скидки на курсы он-лайн школСкидки и привилегии по кредитам, ипотека на льготных условиях, льготные условия обслуживания и т.п.Программа корпоративных скидок и привилегий Primezone: развлечение, отдых, товары и услуги, обучениеКомфортный современный офис: зоны для отдыха и здорового питания, зоны для совместной работыПрограмма волонтерства и благотворительностиОфис - м. Красные ворота / м. Комсомольская (5 минут пешком от метро)"
225,225,,ПИК-Аренда,,,Полная занятость,От 3 до 6 лет,,,business/data analyst,2020-10-13T20:09:07+0300,,Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'Английский язык'}, {'name': 'Presentation skills'}, {'name': 'MS Excel'}, {'name': 'Google Sheets'}]",
262,262,,МТС,,,Полная занятость,От 3 до 6 лет,,,архитектор пакетной обработки данных (big data),2020-09-29T18:11:18+0300,"Требования: Хорошее понимание концептуальных и технологических аспектов BigData и стека Hadoop (HDFS, YARN, Map-Reduce, Spark, Hive)Хорошее понимание шаблонов пакетной обработки данных (batch ETL/ELT)Опыт разработки с применением ETL инструментария (Airflow, Informatica BDE, Pentaho DI и др.) от 3 летОпыт работы с Hive, Spark от 3 летОпыт программирования на Python от 3 летАнглийский язык на уровне pre-intermediate ",Полный день,"[{'name': 'Python'}, {'name': 'Agile Project Management'}, {'name': 'Hadoop'}, {'name': 'Hive'}, {'name': 'Spark'}, {'name': 'Big Data'}]","Условия? Каждый месяц - аванс и зарплата, дважды в год - премия. Бонусом – ДМС + стоматология, корпоративная связь, страхование жизни, в т.ч. при выезде за границу, специальные предложения от партнеров и друзей МТС."
283,283,,"МАГНИТ, Розничная сеть",Мы развиваем собственный ,,Полная занятость,От 3 до 6 лет,,,senior data science,2020-09-30T16:04:43+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Data Mining'}, {'name': 'SQL'}, {'name': 'MS SQL'}, {'name': 'Pascal'}]","Будет преимуществом: Опыт использования более сложных методов решения задач регрессии во временных рядах: градиентный бустинг, нейросети;Опыт создания собственных метрик оценки моделей машинного обучения для регрессии;Опыт создания собственных методов разделения данных для проведения кросс-валидации и поиска по сетке;Опыт сокращения времени обучения моделей с минимальной потерей точности;Опыт создания устойчивых моделей и умение объяснить изменение точности модели на новых данных;Приветствуется опыт сокращения потребления вычислительных ресурсов при обучении моделей;Опыт использования пайплайнов и стакингов различных моделей нейросетей;Опыт создания нейросети с &quot;нуля&quot; без использования сторонних специализированных на нейросетях библиотек, понимание математического аппарата внутри нейросети;Опыт оптимизации нейросетей под более требовательные к оптимизации условия (мобильные приложения, малое кол-во памяти и т.п.);Опыт использования обученной нейросети в других методах машинного обучения (использование весов признаков, выходных данных определенных слоев и т.п.). "
297,297,Москва,PepsiCo,,,Полная занятость,Более 6 лет,,,data scientist,2020-09-25T12:33:22+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Английский язык'}, {'name': 'NRM'}, {'name': 'Pricing'}, {'name': 'Promo'}, {'name': 'Data Science'}, {'name': 'Gurobi'}, {'name': 'Cplex'}, {'name': 'Machine Learning'}, {'name': 'Artificial Intelligence'}, {'name': 'AI'}, {'name': 'ML'}]",
