,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
18,18,,Апптимизм,,,Полная занятость,От 3 до 6 лет,130000.0,100000.0,frontend-разработчик,2020-10-15T15:22:10+0300,"ряд плюсов: <br />- Мы не галера, где тебе придется грести от дейли стендапа до обеда, а маленькая компания с семейной атмосферой;<br />- А это значит, что у нас нет всяких бюрократических штук, которые отвлекают разработчика от процесса;<br />- И твой голос будет иметь вес в принятии решений по проекту и организации рабочего процесса;<br />- А еще у нас нет грейдов, и твой рост ограничен только тем вкладом, который ты вносишь в проект, а не бездушной табличкой с требованиями;",Полный день,"[{'name': 'Vue'}, {'name': 'Nuxt'}, {'name': 'Node.js'}, {'name': 'AngularJS'}, {'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'Оптимизация бизнес-процессов'}, {'name': 'Умение работать в коллективе'}]",
32,32,,Cellar door,Мы в поисках ,,Полная занятость,От 3 до 6 лет,150000.0,,middle+ frontend разработчик (react/удаленно),2020-09-28T09:58:19+0300,,Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'React.js'}, {'name': 'Typescript'}]","Условия:  Полностью официальная зарплата, трудовой договор или договор с ИП.  Уровень заработной платы до 150К на руки.  Работа удаленная, но на full-time.  График свободный, важно присутствие на митингах и рабочих совещаниях.  Командировки в Нижний Новгород 1 раз в квартал на общие митинги и активности (по желанию) "
35,35,,"ОТП Банк, АО (OTP bank)","Мы, команда Cash Loan offline CJ and Service (трайб Lending and POS), занимаемся развитием кредитов наличными в ОТП Банке<br />Наш продукт - это кредиты наличными в оффлайн-каналах (Отделения Банка, POS-точки). Наши цели: быстрые продукты, быстрые способы доставки денег, довольные Клинты<br />В ближайшее время мы планируем внедрение новых продуктов (кредит под залог авто, рефинансирование, гарантированная ставка и прочие), разработку onboarding стратегии, а также будем заниматься развитием и переводом на микросервисной архитектуру продуктового каталога, кредитного конвейера и процессов обслуживания (досрочное погашение, получение справок и т.д.). Мы будем выстраивать взаимодействие с внутренними и внешними клиентами и стремиться максимизировать их уровень удовлетворенности продуктом и сервисами.<br /><br />",,Полная занятость,От 3 до 6 лет,,,senior frontend разработчик,2020-09-16T13:29:12+0300,,Полный день,"[{'name': 'JavaScript'}, {'name': 'jQuery'}, {'name': 'Git'}, {'name': 'React/Redux'}, {'name': 'ES6'}]",Что мы предлагаем: Реализация своего профессионального потенциала в крупном современном Банке;Привлекательные финансовые условия;Дополнительные интересные бенефиты;Возможность расти и развиваться;Гибкое начало рабочего дня;  
134,134,,Венул,"Проектная работа (не более 100 часов) - субподряд на выполнение части работ по фронтенду по контракту у постоянного Заказчика. Требуемый опыт в javascript&#39;е 2-3 года, а также<br />• Webix<br />• Jasper Reports На бэкенде Java (нужно знать основы) Работа в любое время суток. Сдать работы нужно к 25 октября (работать можно в любое время суток) Команда молодая. Будет не скучно:) Наличие статуса самозанятого (если нет, не страшно. Погуглите. Самозанятость можно оформить за пару кликов. Все налоги за Вас мы оплачиваем сверх рейта.) Заключение договора на выполнение работ. Оплата после сдачи проекта. Размер рейта от 800 до 900 руб в час (после собеседования) При отклике на вакансию пришлите, пожалуйста, примеры кода.",,Частичная занятость,От 1 года до 3 лет,150000.0,100000.0,frontend-разработчик,2020-10-05T09:58:45+0300,,Удаленная работа,[{'name': 'Работа в команде'}],
260,260,Москва,Банки.ру,"Banki.ru — крупнейший финансовый супермаркет Рунета, предлагающий продукты банковского, страхового, телекоммуникационного и инвестиционного рынков.<br />Мы являемся лидером среди финансовых медиа, главным маркетплейсом отрасли.<br />Ежемесячно на Banki.ru заходит более 10 миллионов уникальных пользователей. И наша команда ежедневно работает над тем, чтобы все эти люди получали оперативную, достоверную и подробную информацию о финансовом рынке. Мы помогаем в выборе самых выгодных предложений и способствуем решению проблем, возникших при взаимодействии с финансовыми организациями. ","Обязанности: Написание нового функционала с использованием новых технологий;Поддержка уже написанного функционала, исправление дефектов;Рефакторинг текущего функционала;Участие в командной разработке и выборе технических решений. ",Полная занятость,От 3 до 6 лет,,,frontend-разработчик (senior),2020-10-15T17:23:26+0300,"Требования: Уверенное знание нативного JS, ES2015, ES6+;Опыт работы с одним из фреимворков – React, Vue, Angular;Умение верстать, владение флексбоксами, знание БЭМ, опыт адаптивной вёрстки;Опыт работы с системами контроля версий, git;Опыт работы с CSS препроцессорами (мы используем Stylus);Опыт работы с html шаблонизаторами, например, twig, pug;Опыт сборки статики (gulp, webpack);Владение основами командной строки Linux;Понимание ООП. ",Полный день,"[{'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'ReactJS'}, {'name': 'HTML'}, {'name': 'CSS'}]","Условия: Достойная оплата труда (обсуждается индивидуально на встрече) + полугодовые премии.Официальное оформление по ТК РФ с первого рабочего дня.Участие в конференциях, митапах, обучающих курсах.Возможность карьерного роста внутри команды.Компенсация питания, ДМС, английский, фитнес, отсутствие дресс-кода, гибкое начало рабочего дня.Офис в шаговой доступности от м. Нахимовский пр-т. Можно работать удаленно.    "
273,273,Москва,Uchi.ru,,,Полная занятость,От 3 до 6 лет,,,senior frontend-разработчик,2020-09-29T13:11:22+0300,,Полный день,"[{'name': 'React'}, {'name': 'JavaScript'}]",
382,382,Москва,Kameleoon,,,Полная занятость,От 1 года до 3 лет,,,frontend-разработчик,2020-10-15T15:18:05+0300,,Полный день,"[{'name': 'Sass'}, {'name': 'Less'}, {'name': 'Git'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'React.js'}, {'name': 'TDD'}, {'name': 'CSS'}, {'name': 'CSS3'}, {'name': 'Scrum'}, {'name': 'HTML5'}, {'name': 'Работа в команде'}, {'name': 'Linux'}, {'name': 'Умение работать в коллективе'}]",
387,387,Москва,Технологии продаж,,"Обязанности: Адаптивная, кроссбраузерная верстка по макетам (Figma)<br />Разработка frontend нового продукта vue.js с использованием БЭМ<br />Участие в обсуждении UI, UX, формирования архитектуры, выбора технологий, требований к API<br />Помощь своей команде, поиск и выбор оптимальных решений.<br />Поддержка существующих интерфейсов и постепенный переход на vue.js ",Полная занятость,От 1 года до 3 лет,80000.0,,frontend-разработчик,2020-10-05T10:36:53+0300,"Требования:  знания HTML5, CSS3, JavaScript ES6  Опыт работы с vue.js и Bootstrap  Опыт использования систем контроля версий (Git)  Опыт использования менеджеров пакетов (npm, yarn)  Опыт адаптивной и кроссбраузерной верстки  ",Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'vue.js'}, {'name': 'Bootstrap'}, {'name': 'UI'}, {'name': 'UX'}, {'name': 'CSS3'}, {'name': 'HTML5'}, {'name': 'Ajax'}, {'name': 'jQuery'}, {'name': 'БЭМ'}]",Условия:  Удаленную работу;  Стабильную своевременную зарплату;  Возможность роста внутри компании  Масштабные задачи;  Современные технологии;  Расширение технического кругозора; 
409,409,Москва,Росгосстрах,"В рамках Росгосстрах реализуется масштабный проект – внедрение новой Enterprise системы для заключения и учета страховых договоров. Она будет центром основных бизнес-процессов компании. На проекте задействовано более 150 человек, в том числе коллеги из Европы и Америки. ",,Полная занятость,От 1 года до 3 лет,,,ведущий фронтэнд разработчик (senior frontend developer),2020-10-06T13:47:36+0300,,Полный день,"[{'name': 'Agile Project Management'}, {'name': 'Atlassian Jira'}, {'name': 'Java'}, {'name': 'Scrum'}, {'name': 'AngularJS'}, {'name': 'SQL'}, {'name': 'ООП'}, {'name': 'Разработка ПО'}, {'name': 'JSON API'}, {'name': 'JavaScript'}]",
436,436,,ИНВИТРО,,,Полная занятость,От 3 до 6 лет,,140000.0,frontend-разработчик,2020-10-06T10:54:07+0300,,Полный день,"[{'name': 'C#'}, {'name': 'ASP.NET'}, {'name': 'Entity Framework'}, {'name': 'Transact-SQL'}, {'name': 'JavaScript'}, {'name': 'HTML5'}]",Условия: Оклад обсуждаем на встречеКомфортный график (возможность выбора начала рабочего дня)Офис в пяти минутах пешком от м. Нагатинская (есть парковка)Дополнительные 3 дня отпуска к основному отпуску 28 днейКорпоративные скидки на услуги компании: 30 % скидки на анализы и прием профильных специалистов для Вас и членов семьи
