,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
248,248,Москва,ИндаСофт,,Обязанности: - Поддержка существующего программного обеспечения - Развитие и улучшение ПО компании - Реализация нового функционала - Декомпозиция и согласование требований ,Полная занятость,Более 6 лет,240000.0,180000.0,senior c# разработчик (fullstack),2020-10-07T12:17:55+0300,"Требования: - Хорошее знание платформы .NET ; - Хорошее знание C#, опыт применения в боевых проектах - Знание синтаксиса SQL, опыт проектирования моделей данных - Хорошее знание JavaScript, jQuery - Знание современных подходов к проектированию архитектур систем и организации кода - Опыт командной работы и знание средств контроля кода (TFS, GIT) ",Полный день,"[{'name': 'Git'}, {'name': 'JavaScript'}, {'name': 'jQuery'}, {'name': 'AngularJS'}, {'name': 'C#'}, {'name': 'ASP.NET'}, {'name': '.NET Framework'}, {'name': 'WCF'}]","Условия: Оформление по ТК РФ. Полностью белая ЗП. Оплата полиса ДМС. Компенсация занятий спортом. Стабильная компания, на рынке более 20 лет. Обещаем профессиональный коллектив, возможности роста и развития."
250,250,Москва,X5 RETAIL GROUP,,,Полная занятость,От 1 года до 3 лет,,,fullstack разработчик (javascript),2020-10-14T19:30:08+0300,,Полный день,"[{'name': 'Node.js'}, {'name': 'React'}, {'name': 'JavaScript'}, {'name': 'PostgreSQL'}, {'name': 'GraphQL'}, {'name': 'Docker'}]",
400,400,,Русатом Инфраструктурные Решения,,"Обязанности: <br />● Формирование команды разработчиков, управление компетенциями команды;<br />● Планирование проекта разработки программного продукта: календарный план выпуска релизов, оценка бюджета, оценка потребности в ресурсах;<br />● Управление работой команды разработчиков (Agile), постановка и декомпозиция задач;<br />● Управление рисками проекта разработки программного обеспечения;<br />● Перевод готового программного продукта в эксплуатацию;<br />● Организация и участие в написании технической документации на программный продукт;<br />● Непосредственное участие в процессе разработки архитектуры системы и ее дальнейшей реализации, построения интеграций с внешними системами ",Полная занятость,От 3 до 6 лет,,250000.0,teamlead (fullstack),2020-09-18T15:39:04+0300,"Требования к должности: Понимание принципов и механизмов CI / CD.Релевантный опыт в области разработки и управления командой от 4-х человекОпыт разработки микросервисной архитектуры;Опыт работы с PostgreSQL, Redis; опыт проектирования баз данных различного уровня;Умение тестировать свой и чужой код;   ",Полный день,"[{'name': 'Agile Project Management'}, {'name': 'Atlassian Jira'}, {'name': 'PostgreSQL'}, {'name': 'Управление разработкой'}, {'name': 'Scrum'}, {'name': 'Java'}, {'name': 'JavaScript'}, {'name': 'SpringBoot'}]",
538,538,,Билайн,"Наша команда Digital разрабатывает и внедряет в жизнь самые актуальные и современные технологии. Вместе мы не только создаем digital-будущее Телекома, но и используем инновационные инструменты в своих проектах, работая по Scrum в дистанционных командах.<br />Если ты готов решать по-настоящему сложные задачи, которые, возможно, до тебя не решал никто, обладаешь аналитическими способностями, если тебя не пугают масштабные проекты и профессиональные вызовы – присоединяйся!<br />И сейчас у тебя есть возможность присоединиться к лучшей команде в качестве Fullstack разработчика! ",,Полная занятость,От 3 до 6 лет,,,fullstack разработчик,2020-10-14T20:38:59+0300,,Полный день,"[{'name': 'ООП'}, {'name': 'C#'}, {'name': 'Scrum'}, {'name': '.NET Framework'}, {'name': 'Английский язык'}]",
676,676,,Hunt For You,,,Полная занятость,Более 6 лет,7000.0,4000.0,"senior fullstack developer (python, remote)",2020-10-15T11:02:20+0300,,Удаленная работа,"[{'name': 'Python'}, {'name': 'PostgreSQL'}, {'name': 'SQL'}, {'name': 'JavaScript'}, {'name': 'Django Rest Framework'}]",
681,681,,Транспортно-Логистический Холдинг Мэйджор,Карьера в ,"Должностные обязанности: Непрерывное развитие программного комплекса логистической КомпанииПоддержка существующего программного обеспечения, на необходимом уровне (db, services, UI);Проектирование и интеграция внутренних или внешних APIУчастие в формировании бизнес-требований от подразделений-заказчиковРефакторинг существующего кода (C#, VBA, Transact SQL)Поддержка общей кодовой базы с применением систем контроля версий) ",Полная занятость,От 1 года до 3 лет,170000.0,,"программист net (c#, fullstack)",2020-10-15T15:12:23+0300,"Требования:   Образование: высшее профильное, высшее техническое;   Понимание принципов: - ООП - работы с реляционными данными - SOLID  Опыт и навыки работы с применением: - NET.Framework (C# WPF, C# WinForms) - LINQ - ADO.net, Transact SQL  Будет плюсом: - опыт разработки служб WCF или классических веб-служб ASMX - опыт работы с применением DevExpress<br />- знание основ VBA - большой опыт рефакторинга legacy кода;Желание учиться, развиваться, совершенствовать все, что несовершенноСпособность с удовольствием создавать программный продукт в команде Нам нужны Разработчики (с большой буквы), которые готовы решать задачи, начиная от анализа пользовательских историй, и заканчивая их реализацией в программном коде. Имеется возможность изучения и работы с широким спектром технологий (desktop, mobile, web, services). Если у Вас творческий склад ума, Вы ответственны, Вы хорошо владеете необходимыми технологиями программирования, умеете эффективно работать в команде, то мы ждём Вас! <ul> </ul>",Полный день,"[{'name': '.NET Framework'}, {'name': 'C#'}, {'name': 'MS SQL Server'}, {'name': 'WPF'}, {'name': 'SQL'}, {'name': 'MS Access'}, {'name': 'Transact-SQL'}, {'name': 'TFS'}, {'name': '.NET 4.0+'}, {'name': 'LINQ'}, {'name': 'ООП'}, {'name': 'VBA'}]","Условия: Достойная оплата трудаОфициальное оформление по ТК РФГрафик работы 5/2, с 9.00 до 18.00 или с 10:00 до 19:00, офис ст.м. Бутырская, ДмитровскаяВнутреннее и внешнее обучениеВозможность изучать английский язык по корпоративным программамСоцпакет по ТК РФ + дополнительные составляющие:Корпоративные программы ДМС сотрудникам и членам их семейЛьготы на приобретение и обслуживание автомобиля в фирменных салонах Major-autoСпортивные и развлекательные мероприятияСоциальные программы для детей сотрудниковРабота в команде профессионалов! "
743,743,,"Bright Pattern, Inc","Bright Pattern technology is the industry’s simplest, most powerful cloud contact center. It’s new, it’s different, and it will revolutionize the way that fast, easy customer service is delivered. Bright Pattern’s cloud contact center solution is used globally in over 26 countries and localized to 12 languages. Our goal is to help millions of people contacting companies by enabling modern communication channels such as mobile applications, text messages, web chat, social media and video conferencing. We are looking for ",,Полная занятость,От 3 до 6 лет,,,fullstack java developer - remote work,2020-10-15T13:16:13+0300,,Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'HTML5'}, {'name': 'CSS3'}, {'name': 'REST'}, {'name': 'React'}, {'name': 'Java'}, {'name': 'MS SQL'}, {'name': 'MongoDB'}]",
745,745,,Электронная торговая площадка Газпромбанка,"Мы - команда проекта электронной торговой площадки Газпромбанка, одной из федеральных торговых площадок. Наша цель - создавать и развивать продукт, упрощающий работу наших клиентов, автоматизирующий их процессы и экономящий их время и деньги. Для достижения этой цели мы ищем талантливого ",,Полная занятость,От 1 года до 3 лет,,,fullstack разработчик,2020-10-12T09:17:03+0300,"Требования: Понимание принципов написания качественного кода: DRY, SOLID, KISS;Понимание принципов и основ ООП;Понимание паттернов проектирования;Уверенные знания PHP 7 и опыт написания приложений на нем;Опыт работы с реляционными СУБД, понимание реляционной алгебры. Опыт построения сложных запросов и их оптимизации;Хорошие знания JS и опыт использования фреймворка ExtJs;Понимание принципов разработки с учетом высоких нагрузок;Опыт работы со сторонними API;Опыт работы с Linux системами;Опыт работы с git из консоли;Знание алгоритмов на уровне понимания вычислительной/ресурсной сложности. Знание структур данных. ",Удаленная работа,"[{'name': 'Linux'}, {'name': 'Design Patterns'}, {'name': 'Zend Framework'}, {'name': 'JSON API'}, {'name': 'PostgreSQL'}, {'name': 'Elasticsearch'}, {'name': 'PHP7'}, {'name': 'ExtJS'}]",
827,827,,WAZZUP,Приглашаем в команду ,,Полная занятость,От 1 года до 3 лет,120000.0,80000.0,fullstack разработчик,2020-10-13T11:05:25+0300,,Удаленная работа,"[{'name': 'Node.js'}, {'name': 'Vue.JS'}, {'name': 'PostgreSQL'}, {'name': 'Sequelize'}, {'name': 'RabbitMQ'}, {'name': 'Redis'}, {'name': 'Kubernetes'}]","Условия: 5/2, удалёнка или офис в МСК;ЗП на старте 80-120 тыс, в зависимости от выполнения тестового задания (а оно будет);Оплачиваемый отпуск, трудоустройство;Возможность внести лепту в завоевание мира. "
979,979,,ОТР,"Привет. Мы компания PRO IT, и мы разрабатываем софт на заказ для органов власти и частных клиентов. Мы неплохо справляемся, но хотим лучше, поэтому нам очень нужна помощь сильного Fullstack-разработчика, который не боится серверной разработки на .Net. Нужно будет помогать нам автоматизировать бизнес-процессы наших клиентов. ",,Полная занятость,От 1 года до 3 лет,,,fullstack-разработчик (удаленно),2020-10-01T10:51:12+0300,,Удаленная работа,"[{'name': 'Git'}, {'name': 'PostgreSQL'}, {'name': 'HTML5'}, {'name': 'C#'}, {'name': 'Atlassian Confluence'}]",
