,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
144,144,Москва,HeadHunter,"HeadHunter ищет опытного человека в технический департамент для работы над frontend-частью проекта. Вместе с нами решать сложные и интересные задачи направленные на совершенствование продукта, помогающего найти работу соискателям и найти сотрудников работодателям. Участвовать в техническом и продуктовом обсуждении решений, разрабатывать новые сервисы. У нас большой технический департамент — 145 человек, 30 фронтенд-разработчиков, больше 25 продуктовых команд. ",,Полная занятость,От 3 до 6 лет,,230000.0,"senior front-end developer (javascript, react)",2020-10-15T12:50:52+0300,,Гибкий график,"[{'name': 'JavaScript'}, {'name': 'Node.js'}, {'name': 'Git'}, {'name': 'Python'}, {'name': 'CSS'}, {'name': 'Frontend'}]",
250,250,Москва,X5 RETAIL GROUP,,,Полная занятость,От 1 года до 3 лет,,,fullstack разработчик (javascript),2020-10-14T19:30:08+0300,,Полный день,"[{'name': 'Node.js'}, {'name': 'React'}, {'name': 'JavaScript'}, {'name': 'PostgreSQL'}, {'name': 'GraphQL'}, {'name': 'Docker'}]",
311,311,Москва,Лаборатория Касперского,,,Полная занятость,От 1 года до 3 лет,,,"web developer, threat intelligence services (javascript, react)",2020-09-28T14:19:04+0300,,Полный день,"[{'name': 'Git'}, {'name': 'CSS'}, {'name': 'HTML5'}, {'name': 'React'}, {'name': 'JavaScript'}]",
497,497,Москва,ТЭК электроникс,"Ведущий российский разработчик и производитель высокотехнологичной автомобильной электроники – ТЭК электроникс с 2005 года создает уникальные продукты, с учетом последних технических и научных достижений. Если Вам интересна работа на производственном предприятии, если Вас привлекает сфера автомобильной индустрии и Вас не оставляет равнодушным успех отечественной промышленности – мы будем рады видеть Вас частью нашей команды. ",,Полная занятость,От 3 до 6 лет,200000.0,160000.0,разработчик javascript,2020-09-23T16:51:27+0300,,Полный день,"[{'name': 'HTML'}, {'name': 'MySQL'}, {'name': 'CSS'}, {'name': 'MS SQL'}, {'name': 'C#'}, {'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'Java'}, {'name': 'Node.js'}, {'name': 'CSS3'}]",
761,761,Москва,ФГБОУ ВО Российский национальный исследовательский медицинский университет им. Н.И. Пирогова,Для разработки и поддержки Информационной системы обеспечения образовательного процесса в высшем образовательном учреждении требуется программист. ,Обязанности: Разработка по техническим заданиям: поддержание и развитие существующей ИСУчастие в разработке архитектуры решенияУчастие в разработке технического заданияУчастие в разработке руководства пользователя ,Полная занятость,От 1 года до 3 лет,,,программист javascript / php,2020-09-29T15:42:34+0300,Требования: высшее образованиеот 2 лет в проектах 24х7 (1 000 – 10 000 пользователей одновременно)в команде разработчиков от 3-х человекPostgreSQLMSSQLGit ,Полный день,[],Условия: Оформление по ТК РФ.Полный рабочий день.Стабильная заработная плата.Возможность реализовывать действительно полезные проекты. 
1219,1219,,"ЗащитаИнфоТранс, ФГУП","ФГУП «ЗащитаИнфоТранс» — ведущий системный интегратор транспортной отрасли России в области транспортной и информационной безопасности, а также внедрения информационных технологий. Компания решает задачи, связанные с обеспечением безопасности на транспорте, информационной и физической защитой объектов, их аттестацией по требованиям безопасности, аудитом и обслуживанием. Головной офис компании расположен в Москве, также имеются филиалы в г. Санкт-Петербурге, Екатеринбурге, Хабаровске. ",Обязанности: Участие в разработке новых и доработке старых проектов с web-интерфейсом в роли full-stack программиста.Постановка задач рядовым разработчикам и контроль их выполнения.Выполнение технического анализа и участие в разработке архитектуры решений.Участие в полном цикле работ от разработки ТЗ до внедрения и сопровождения. ,Полная занятость,От 3 до 6 лет,,,ведущий разработчик .net/ c#/ javascript,2020-10-06T15:45:51+0300,"ФГУП «ЗащитаИнфоТранс» — ведущий системный интегратор транспортной отрасли России в области транспортной и информационной безопасности, а также внедрения информационных технологий. Компания решает задачи, связанные с обеспечением безопасности на транспорте, информационной и физической защитой объектов, их аттестацией по требованиям безопасности, аудитом и обслуживанием. Головной офис компании расположен в Москве, также имеются филиалы в г. Санкт-Петербурге, Екатеринбурге, Хабаровске. ",Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'ASP.NET'}, {'name': 'ASP.NET MVC'}, {'name': 'C#'}, {'name': 'Entity Framework'}, {'name': '.NET Framework'}, {'name': 'руководство командой разработчиков'}]","Условия работы: Официальное оформление в соответствии с ТК РФ (оплата больничных и отпусков).Дополнительное материальное вознаграждение к отпуску ежегодно.Программа ДМС после прохождения испытательного срока (включает стоматологию и полис для выезжающих за рубеж).График работы 5/2, возможность выбрать время начала рабочего дня.Возможность дополнительного обучения за счет компании и карьерного роста.Уютный офис с зонами отдыха и кухней, комфортное рабочее место, офис находится в пешей доступности от метро Тульская на территории Даниловской Мануфактуры."
1385,1385,,АЙФЭЛЛ,,"Обязанности: Искать эффективные IT-решения для целого спектра задач, начиная от продуктовых (создание новых модулей интернет-банков/сайта) и заканчивая R&amp;D (разработка фронтенд-стека компании);Разрабатывать электронные продукты банка. ",Полная занятость,От 1 года до 3 лет,,,разработчик javascript,2020-10-12T13:12:55+0300,"Требования: Отличное знание JavaScript, HTML/CSSОпыт с ReactОпыт работы в командеОпыт работы от 3-х летЖелание работать с большими и сложными проектами ",Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'AngularJS'}, {'name': 'HTML5'}, {'name': 'React'}]","Условия: Удаленная работа, возможно посещение офиса;Гибкое начало рабочего дня, график 5/2;Дополнительный оплачиваемый отпуск при значимых событиях в жизни;Полис ДМС со стоматологией после успешного прохождения испытательного срока;Льготное страхование."
1587,1587,,ИЦ АЙ-ТЕКО,,,Полная занятость,От 1 года до 3 лет,,,ведущий javascript разработчик (банковский сектор),2020-09-23T17:16:58+0300,,Полный день,[],
1692,1692,Москва,Банк ВТБ (ПАО),. ,"Обязанности: решение задач проектирования и разработки компонентов продукта;проведение код-ревью решений коллег и предоставление аргументированной критики;документировать собственные решения, предоставлять консультацию в подготовке тестовых сценариев;сопровождать этапы внедрения продукта в эксплуатацию. ",Полная занятость,От 3 до 6 лет,,,ведущий javascript (react+redux) разработчик,2020-09-28T10:39:47+0300,"Требования: уверенное знание нативного JavaScript и особенностей языка;практический опыт проектирования и разработки на React+Redux от 2-х лет;практический опыт работы с Webpack, NPM;умение работать с REST API, Websocket;практический опыт работы с HTML5, CSS3 пре- и постпроцессорами;практический опыт responsive/adaptive вёрстки. ",Полный день,"[{'name': 'JavaScript'}, {'name': 'front-end'}, {'name': 'react'}]","Условия: трудоустройство согласно Законодательству;офис: метро Пролетарская, ул. Воронцовская д.43 стр.1;профессиональное обучение и развитие;добровольное медицинское страхование, льготные условия кредитования;корпоративная пенсионная программа, материальная помощь;спортивная жизнь и корпоративные мероприятия;возможность построить карьеру в ведущем банке России."
1844,1844,,IronMathTeam,,,Полная занятость,От 1 года до 3 лет,180000.0,100000.0,фронтенд/frontend разработчик на react (javascript) — уровень middle / senior,2020-10-15T15:10:36+0300,"Требования к кандидату опыт разработки в JavaScript 2–3 года;опыт разработки на базе React от 1 года;наличие опыта в разработке крупных фронтенд приложений на базе React;хорошее владение git;хорошее знание базового JS (es6);хорошее знание HTML, CSS, SASS;опыт верстки и оптимизации пользовательских интерфейсов;опыт в разработке пользовательских интерфейсов с клиент-серверным взаимодействием;умение писать тесты к разработанному функционалу приложения (jest, enzyme);хорошее ориентирование в модулях NPM для разработки пользовательских интерфейсов (Redux, immutableJs, Bootstrap, reselect) умение быстро разобраться в новых модулях;понимание nodejs (опыт работы с ним будет плюсом);умение настраивать Webpack будет плюсом;хорошие коммуникативные качества, умение объяснить что сделано, как и почему. ",Удаленная работа,"[{'name': 'JavaScript'}, {'name': 'React'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'CSS3'}, {'name': 'GitHub'}, {'name': 'immutableJs'}, {'name': 'Bootstrap'}, {'name': 'reselect'}, {'name': 'NPM'}, {'name': 'Webpack'}, {'name': 'Sass'}, {'name': 'JSON API'}, {'name': 'JS'}, {'name': 'JS (es6)'}, {'name': 'Git'}, {'name': 'jest'}, {'name': 'enzyme'}]",
