,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
59,59,,Exness,"Exness is building FinTech products (both B2B and B2C) for a 70K+ active customers, constantly trying to improve. We&#39;re moving fast, data-driven, always learning new things about our customers and finding new ways to make their experience with our products the most satisfying. We are looking for experienced Python Developer. We work in an agile environment by scrum methodology, where every employee can influence the product functionality. ",,Полная занятость,От 3 до 6 лет,,,python developer (remote),2020-10-07T14:31:41+0300,,Полный день,"[{'name': 'Python'}, {'name': 'asyncio'}, {'name': 'SQL'}, {'name': 'Linux'}, {'name': 'Kafka'}, {'name': 'Clickhouse'}, {'name': 'JWT'}, {'name': 'OAuth2'}]",
67,67,,Яндекс,"Команда обработки внешних данных обеспечивает данными различные продукты Яндекса: нашими сервисами пользуются как разработчики, так и менеджеры по работе с партнерами. Мы ищем ответственного разработчика на Python, которому предстоит создавать и поддерживать внутренние инструменты. ",,Полная занятость,От 1 года до 3 лет,,,разработчик на python,2020-10-10T18:32:13+0300,,Полный день,[],
165,165,Москва,Строительный Двор,Более ,,Полная занятость,От 1 года до 3 лет,130000.0,100000.0,python разработчик,2020-10-08T13:58:10+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Django Framework'}, {'name': 'PostgreSQL'}]","Предлагаемые условия: полностью &quot;белая&quot; заработная плата, уровень обсуждается на собеседовании;официальное трудоустройство по ТК РФ;гибкий график с периодической возможностью удалённой работы;система наставничества и обучения;возможность посещать конференции, митапы и другие мероприятия за счет компании; комфортный офис (удобные переговорки, слип-боксы, кофе-зоны);  компенсация обедов 50%;  корпоративы, тимбилдинги, дни настольных игр.  "
211,211,,Arival,,,Полная занятость,От 3 до 6 лет,,150000.0,senior python developer,2020-10-15T11:53:38+0300,,Удаленная работа,"[{'name': 'RabbitMQ'}, {'name': 'Python'}, {'name': 'PostgreSQL'}, {'name': 'AWS'}, {'name': 'Docker'}]",
247,247,Москва,Align Technology,"We’re looking for Senior Software Engineer in Test (SDET) who will join our team and will take part in creation of world-known software products in iTero scanning business. iTero ® intraoral scanners are designed to deliver speed, reliability, intuitive operations, and outstanding visualization capabilities for general practitioners or orthodontists. iTero scans have been used in more than 1.2 million restorative crowns, bridges, and custom implant abutment cases and more than 1.3 million iTero orthodontic scans. Successful candidate will expand auto testing coverage for Scanner applications using Python-based testing automation framework.   ",,Полная занятость,От 3 до 6 лет,,,software development engineer in test (python),2020-10-05T11:08:35+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Atlassian Jira'}, {'name': 'Git'}]",
285,285,Москва,Rambler Group,,,Полная занятость,От 1 года до 3 лет,,,python-разработчик (платформа рекомендаций),2020-10-13T15:08:51+0300,,Полный день,"[{'name': 'Python'}, {'name': 'ETL'}, {'name': 'PostgreSQL'}, {'name': 'Big Data'}]",
323,323,,Пульс Продаж Новостроек,,Обязанности: Разработка парсеров информации на python;Коррекция существующих парсеров. ,Полная занятость,От 1 года до 3 лет,115000.0,70000.0,программист python (разработка парсеров данных),2020-09-20T20:56:49+0300,"Требования: Опыт работы программистом Python от 1 года;Опыт работы с системами контроля версий;Базовые знания HTML, AJAX, HTTP, XML, JSON;Умение тестировать свой код;Умение планировать выполнение работ и выдерживать сроки. По умолчанию предполагается, что вы имеет опыт работы с системами контроля версий, linux shell, ms excel, знаете что такое ООП, Веб-сервисы, xml, json, rest и прочие мелочи. ",Удаленная работа,"[{'name': 'JSON API'}, {'name': 'HTML'}, {'name': 'HTTP'}, {'name': 'Python'}, {'name': 'Ajax'}]","Условия: График работы гибкий, работа удаленная;Заработная плата обсуждается с кандидатами индивидуально, все зависит от вас;Необходимо выполнить оплачиваемое тестовое задание."
444,444,Москва,ГК «ХайТэк»,,"Обязанности: Разработка и тестирование модулей Python для поддержки запуска нейронных сетей на тензорном процессоре;Разработка и исследование алгоритмов эквивалентных преобразований вычислительных графов нейронных сетей, планировки памяти и способов наиболее полного использование набора инструкций процессора для максимального ускорения инференса;Анализ преобразованных вычислительных графов, выявление метрик утилизации ресурсов процессора, bottleneck-ов;Участие в развитии Python модели процессора и компилятора;Написание юнит-тестов; ",Полная занятость,Нет опыта,,,разработчик python,2020-10-08T17:20:28+0300,"Требования: Опыт разработки на Python. Мы используем Python 3;Знание и умение применять на практике системы тестирования кода;Способность писать поддерживаемый и документированный код;Умение проводить рефакторинг существующего кода;Знание git, работа в консоли; ",Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'Linux'}, {'name': 'C++'}, {'name': 'Обучение и развитие'}]",
522,522,Москва,ФГУП НПП Гамма,,Обязанности:  Разработка REST сервисов на DRF  Разработка клиентов для работы со сторонними API  Участие в проектировании  Взаимодействие с frontend разработчиками  ,Полная занятость,От 1 года до 3 лет,,,python разработчик (backend),2020-10-12T13:40:58+0300,"Требования:  Опыт разработки на Python не менее 2-х лет  Хорошие знания Python 3+  Умение работать с git  Опыт работы с реляционными базами данных  Опыт работы с фреймворками django, django-rest-framework (DRF)  Начальные знания по JavaScript  ",Полный день,"[{'name': 'Python'}, {'name': 'Git'}, {'name': 'PostgreSQL'}, {'name': 'Django Framework'}, {'name': 'Linux'}, {'name': 'DRF'}]",Условия: Оформление согласно ТК РФ;Официальная заработная плата;Конкурентный уровень заработной платы по рынку;Возможность выбрать время начала рабочего дня. 
552,552,Москва,Ростелеком Информационные Технологии,"ООО &quot;РТК ИТ&quot; входит в IT-кластер группы компаний ПАО &quot;Ростелеком&quot;. Наша команда создает крупнейший в России видеосервис Wink. Это мультимедийная платформа, которая позволяет смотреть более 200 ТВ-каналов, тысячи фильмов и сериалы от ведущих мировых студий на любых устройствах: в мобильных приложениях, на ТВ-приставках и Смарт-ТВ, а также в браузерах на сайте В рамках данной вакансии мы ищем кандидата на позицию разработчика медиа-бэкенда. ",Обязанности:  Разработка и сопровождение ПО для системы доставки видеоконтента  ,Полная занятость,От 1 года до 3 лет,,,ведущий разработчик c/python,2020-10-13T17:29:15+0300,Требования: Опыт программирования на C и PythonОпыт работы с сетью в LinuxОпыт разработки многопоточных/многопроцессных приложенийТехнический английский на уровне чтения стандартов и документации ,Гибкий график,[],"Условия: Отличная командаОфис в центре города, 5 минут от метро Павелецкая\Новокузнецкая\ТретьяковскаяБелая заработная плата + премииСоц. пакет с возможностью выбора категорийГибкий график, иногда можно работать из домаПоездки на профильные конференцииЧай/кофе/печеньки/фрукты.  "
