,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
225,225,,ПИК-Аренда,,,Полная занятость,От 3 до 6 лет,,,business/data analyst,2020-10-13T20:09:07+0300,,Полный день,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'Английский язык'}, {'name': 'Presentation skills'}, {'name': 'MS Excel'}, {'name': 'Google Sheets'}]",
245,245,Москва,Московский филиал АО ЦентрИнформ,"<em>Мы Российская компания, специализирующаяся на разработке высокопроизводительных программных решений и информационных систем федерального уровня и реализующая передовые идеи с помощью новейших подходов и технологий.</em> <em>Мы используем современные подходы к разработке на основе Java, Python, kafka, Spark, Clickhouse, Vertica . Мы используем гибкие методологии и DevOps для создания инфраструктуры и постоянно обновляем технологический стек (Gradle, GitLab, Jenkins, Nexus, Docker, Kubernetes).</em>   <em>Вы будете работать в команде единомышленников, мотивированных на результат. Ежедневная работа будет включать:</em> <em>взаимодействие с Заказчиком и формирование требований по доработке системы; </em><em>декомпозицию и детализацию требований; </em><em>постановку задач на разработку и доработку функциональных возможностей систем; </em><em>формирование и контроль backlog по своим задачам; </em><em>документирование и сдача доработанного функционала Заказчику.</em>   ",,Полная занятость,От 3 до 6 лет,,,старший аналитик/senior analyst,2020-09-24T17:38:15+0300,,Полный день,"[{'name': 'BPMN'}, {'name': 'XML'}, {'name': 'Scrum'}, {'name': 'UML'}]",
299,299,,Game Insight,Мы в ,,Полная занятость,От 1 года до 3 лет,,,ad monetization analyst,2020-09-21T14:05:22+0300,,Удаленная работа,"[{'name': 'SQL'}, {'name': 'Python'}, {'name': 'Advertising'}]",
403,403,Москва,АЙКЬЮВИА СОЛЮШНС,IQVIA™ is the leading ,,Полная занятость,От 1 года до 3 лет,,,crm support analyst (salesforce),2020-10-05T17:01:16+0300,,Полный день,"[{'name': 'Leadership Skills'}, {'name': 'CRM'}, {'name': 'MS PowerPoint'}, {'name': 'Information Technology'}, {'name': 'Customer Service'}]",
417,417,Москва,Nielsen,,,Полная занятость,От 1 года до 3 лет,,,market analyst,2020-10-12T11:52:03+0300,,Полный день,[],
422,422,Москва,Vivid Money,,,Полная занятость,От 1 года до 3 лет,,,data analyst,2020-10-06T17:46:17+0300,,Полный день,"[{'name': 'Data Analysis'}, {'name': 'SQL'}, {'name': 'MS Excel'}]",
499,499,Москва,MAXIMUM EDUCATION,,,Полная занятость,От 1 года до 3 лет,80000.0,60000.0,junior mobile analyst,2020-10-02T19:06:50+0300,,Гибкий график,"[{'name': 'Python'}, {'name': 'SQL'}, {'name': 'Мобильная аналитика'}]",
757,757,Москва,Pandora,,"Обязанности:  Поддержка команды по вопросам web-аналитики  Базовая и продвинутая настройка отслеживания (Google Tag Manager, Google Analytics, Яндекс Метрика, Appsflyer, Firebase etc.), аудит и контроль систем аналитики  Микроразметка страниц, установка целей, построение кастомных отчетов  Настройка контура сквозной аналитики  Автоматизация аналитических отчетов и построение дашбордов.  Организация и подведение итогов AB-тестов, продуктовый анализ  Исследование поведения пользователей сайта и приложений для генерации гипотез для продуктовой команды, анализ эффективности элементов и фич сайта  Участие в проекте по внедрению сквозной аналитики  ",Полная занятость,От 3 до 6 лет,,,web-аналитик/web analyst,2020-09-28T12:23:56+0300,"Требования: Продвинутые знания систем веб-аналитики (Google Analytics, Yandex Metrica) и желательно знание систем мобильной аналитики (Firebase, AppMetrica, AppsFlyer)Знание HTML, JavaScript, jQuery для работы с GTM и разработки технических заданий для команды разработки.Опыт работы с базами данных и DWH, знание принципов ETL, знание SQL на базовом уровне и готовность повышать этот уровень, опыт работы с OLAP.Знание основных digital-метрик и принципов работы performance-маркетинга.Уверенное владение Excel. ",Полный день,"[{'name': 'JavaScript'}, {'name': 'Яндекс.Метрика'}, {'name': 'jQuery'}, {'name': 'HTML'}, {'name': 'Google Analytics'}, {'name': 'SQL'}, {'name': 'WEB аналитика'}, {'name': 'Olap (online analytical processing)'}, {'name': 'A/B тесты'}, {'name': 'MS Excel'}]","Условия: Работу в команде профессионалов, которые вместе идут к одной цели;Возможность управлять продуктом целиком;Комфортные условия труда, удобное расположение офиса: м. Автозаводская (7 мин. пешком), офис класса А;Официальное трудоустройство согласно ТК РФ;ДМС после полугода работы в Компании."
864,864,Мытищи,MOON (Группа Компаний),,,Полная занятость,От 3 до 6 лет,,,аналитик данных / data analyst,2020-10-12T15:01:27+0300,,Удаленная работа,"[{'name': 'E-Commerce'}, {'name': 'MySQL'}, {'name': 'PowerBi'}, {'name': 'Google Data Studio'}, {'name': 'GBQ'}, {'name': 'ARPU'}, {'name': 'ARPPU'}]",
1063,1063,,ЕВРАЗ,,,Полная занятость,От 1 года до 3 лет,,,data engineer/data analyst,2020-09-28T13:39:21+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'PostgreSQL'}, {'name': 'Java'}, {'name': 'SQL'}]","Условия: команда профессионалов, в кругу которых ты не будешь брошен один на один с проблемой;индивидуальный подход к профессиональному росту и развитию внутри компании;официальное трудоустройство с первого рабочего дня и &quot;белая&quot; заработная плата;индивидуальный рабочий режим в зависимости от личных потребностей;участие в конференциях различного уровня, лабораториях, помощь и поддержка в научных проектах; "
