,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
1816,1816,Москва,НИИ «Восход»,,,Полная занятость,Более 6 лет,,,java architect/java lead developer,2020-10-05T11:51:09+0300,,Гибкий график,"[{'name': 'PostgreSQL'}, {'name': 'Java EE'}, {'name': 'Java'}, {'name': 'JDBC'}, {'name': 'Java SE'}, {'name': 'Git'}, {'name': 'Spring Framework'}, {'name': 'Управление разработкой'}, {'name': 'Mercurial'}, {'name': 'SVN'}, {'name': 'Atlassian Jira'}, {'name': 'Redis'}, {'name': 'Apache Tomcat'}, {'name': 'Liferay'}]",
2393,2393,,IKEA,,,Полная занятость,От 1 года до 3 лет,,,data management & it architecture leader,2020-10-12T08:58:02+0300,,Полный день,"[{'name': 'Data Analysis'}, {'name': 'Project management'}, {'name': 'Big Data'}]",
2396,2396,,Сбербанк,"Наша команда создает информационную платформу для решения аналитических и исследовательских задач в области создания продуктов и услуг на мировых финансовых рынках: торговля валютой, ценными бумагами, производными финансовыми инструментами.<br />Этот бизнес потребляет и порождает огромное количество данных, которые должны обрабатываться c целью:<br />• Разработки витрин данных и моделей машинного обучения<br />• Поддержки регулярных бизнес-операций<br />• Проведения Ad hoc анализа<br />• Подготовки регулярной аналитической и управленческой отчетности<br />Разрабатываемая нами информационная платформа – высоконагруженное решение, призванное обеспечить достижение всех этих целей. ","Обязанности:<br />• Проектирование и разработка корпоративной аналитической платформы<br />• Разработка процессов построения пакетной и near real time аналитики<br />• Разработка, поддержка и оптимизация ETL на платформах Greenplum и Hadoop<br />• Поддержание технической документации в актуальном состоянии ",Полная занятость,Нет опыта,,,data engineer / data architect,2020-10-07T17:15:51+0300,"Требования:<br />• Высшее техническое образование<br />• Хорошее знание SQL: процедуры, транзакции, аналитические функции<br />• Английский язык на уровне свободного чтения технической документации<br />• Опыт работы с MPP-решениями класса Greenplum, Teradata, Hadoop (Spark) от 3-х лет<br />• Опыт работы с ETL-решением класса Informatica, SAS DIS от 3-х лет<br />• Опыт работы с CDL/CDP решениями на базе Jenkins и Bitbucket/Git<br />• Знание деталей реализации СУБД: план запроса, физические виды join, хинты, секционирование, индексы, блокировки, строковое и колоночное хранение, управление ресурсами<br />• Знание принципов и подходов к моделированию баз данных: нормализация, Data Vault, Кимбалл, Инмон<br />• Знание CASE-средств для моделирование данных: PowerDesigner, Enterprise Architect или аналогов<br />• Опыт программирования на Java/Scala<br />• Знание процессов Data Governance ",Полный день,[],"Условия:<br />- Работа в отличном офисе с фуд-кортами, креативными пространствами и тренажерным залом на м. Ленинский проспект<br />- Возможность обучаться/участвовать в конференциях за счет компании<br />- Оплата ДМС<br />- Новейшие технологии и подходы"
2881,2881,,Netcracker Technology Corp.,"Netcracker Technology Corp, the world leader in Telecom automation, invites the ",,Полная занятость,Более 6 лет,,,erp solution architect,2020-10-09T17:38:25+0300,,Полный день,[],
2933,2933,,GDC (ICL Services),"Solution Architect - Develop solutions for Identity &amp; Access management and Collaboration based on Microsoft Identity Manager (MIM) and Microsoft 365 for enterprise level customers. Able to independently perform requirements gathering, hold workshops with customer, propose and lead technical implementation of the solution. Multitasking, capable of acting in parallel on several projects (within the same customer). Strong scripting skills is a plus. ",,Полная занятость,От 3 до 6 лет,,,solution architect (microsoft identity manager & microsoft 365),2020-10-04T14:31:11+0300,,Полный день,"[{'name': 'Citrix'}, {'name': 'Project management'}, {'name': 'Английский язык'}, {'name': 'PowerShell'}, {'name': 'Team management'}]",
2934,2934,,ANCOR FinTech,"Компания – разработчик сервисов для сфер такси, доставки и смежных областей, а также разработчик B2B решений для международных компаний. Выбор редакции AppStore и GooglePlayНаграда &quot;Лучший разработчик&quot; в Google PlayОдна из &quot;Топ 15 быстрорастущих компаний&quot; ","Обязанности:  проектирование и разработка архитектуры безопасного программного обеспечения;внедрение передовых инновационных решений;code review;разработка и внедрение решений по написанию безопасного кода;постоянное совершенствование методов Secure Development Lifecycle (SDLC) с подразделениями R&amp;D и Product;выявление и своевременное устранение угроз информационной безопасности;внедрение процессов по информационной безопасности согласно стандартам ISO27001, PCI-DSS, GDPR. Требования: опыт разработки приложений;опыт работы в области информационной безопасности;опыт работы с application security и знание методов SDLC и OWASP;опыт проектирования и создания защищенного веб-приложения, мобильного приложения, системы или сети;умение читать код и видеть его уязвимость;опыт работы с облачными решениями (AWS, MS Azure и т. д.);опыт работы с OpenStack и Kubernetes;опыт тестирования на проникновение;свободное общение на английском языке (уровень не ниже B2);знание GoLang или Ruby / Rails или Python (Django, TurboGears, web2py) – будет преимуществом. ",Полная занятость,От 3 до 6 лет,,,application security architect,2020-10-06T10:57:56+0300,"Обязанности:  проектирование и разработка архитектуры безопасного программного обеспечения;внедрение передовых инновационных решений;code review;разработка и внедрение решений по написанию безопасного кода;постоянное совершенствование методов Secure Development Lifecycle (SDLC) с подразделениями R&amp;D и Product;выявление и своевременное устранение угроз информационной безопасности;внедрение процессов по информационной безопасности согласно стандартам ISO27001, PCI-DSS, GDPR. Требования: опыт разработки приложений;опыт работы в области информационной безопасности;опыт работы с application security и знание методов SDLC и OWASP;опыт проектирования и создания защищенного веб-приложения, мобильного приложения, системы или сети;умение читать код и видеть его уязвимость;опыт работы с облачными решениями (AWS, MS Azure и т. д.);опыт работы с OpenStack и Kubernetes;опыт тестирования на проникновение;свободное общение на английском языке (уровень не ниже B2);знание GoLang или Ruby / Rails или Python (Django, TurboGears, web2py) – будет преимуществом. ",Гибкий график,"[{'name': 'application security'}, {'name': 'SDLC'}, {'name': 'OWASP'}, {'name': 'AWS'}, {'name': 'MS Azure'}, {'name': 'OpenStack'}, {'name': 'Kubernetes'}]","Условия:  гибкий график работы (офис/удаленка/частичная удаленка) обсуждается индивидуально;ДМС, страховка от несчастных случаев;оплата питания;офис в Moscow City."
2936,2936,,Mars,"Mars Pet Nutrition Russia is looking for an Enterprise Data Architect who will be responsible for helping the company constantly improve our management and access to data, minimize data risk for the organization, and help control technical diversity. The Enterprise Data Architect will regularly provide oversight and expertise to the Digital Transformation Office and Data &amp; Analytics team to ensure good database design, performance, and adherence to architectures, standards and best practices. ",,Полная занятость,Более 6 лет,,,enterprise data architect,2020-09-25T11:07:08+0300,,Полный день,[],
4005,4005,,SplitmediaLabs,,,Полная занятость,От 3 до 6 лет,239445.0,159630.0,senior react js architect/developer,2020-09-29T12:07:43+0300,,Удаленная работа,[{'name': 'JavaScript'}],
4681,4681,,Playkot,"<em>Уже 10 лет команда Плэйкота занимается тем, что любит больше всего - создает игры. Сегодня Плэйкот - это два офиса, в Санкт-Петербурге и на Кипре, более 200 высококлассных профессионалов в команде и игры, успешные на международном рынке. Мы быстро, но продуманно растем, запускаем новые проекты и бережно сохраняем нашу атмосферу творчества и увлеченности внутри компании.</em> В 2017 году наш мобильный флагман, Age of Magic, был отмечен в официальном шоуриле Unity как игра с самой красивой графикой из созданных на этом движке, а в 2019 году он взлетел на 50-ю строчку топ-гроссинга — выше всех западных игр в китайском App Store. А еще команда Age of Magic — одна из самых продвинутых команд Плэйкота в техническом плане. Наша цель — масштабировать рост проекта, удерживая высокую планку качества. И именно для ее достижения мы ищем технического лида проекта, который возьмет на себя ответственность за развитие технологической стороны проекта. ",,Полная занятость,Более 6 лет,,,technical architect / lead,2020-10-13T10:28:47+0300,,Полный день,"[{'name': 'Architecture'}, {'name': 'Leadership Skills'}]",
4866,4866,,GDC (ICL Services),"Caused by growing expansion to the fast-moving public clouds market we are looking for the experienced Azure &amp; Wintel Customer Solutions Architects (CSA) to develop and implement technical solutions, participate in pre-sales as a technical expert and interact directly with customers. ",,Полная занятость,Более 6 лет,,,solutions architect (azure & wintel),2020-10-02T15:32:20+0300,,Полный день,[],
