,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
13,13,,Luxoft,,,Полная занятость,От 1 года до 3 лет,,,big data engineer,2020-09-17T11:40:27+0300,,Полный день,"[{'name': 'ETL'}, {'name': 'Hadoop'}, {'name': 'Spark'}, {'name': 'Python'}]",
51,51,Москва,ГЕТСИЭРЭМ,Ведущий пресейл менеджер/Presales Engineer/Solution Architect/Presale manager ,"Обязанности: - Активная пресейловая работа с отделом продаж; - Создание спецификаций и технико-коммерческих предложений; - Презентация услуг и демонстрация решений заказчику; - Проведение встреч с проектными командами и передача знаний; - Участие в переговорах в качестве технического консультанта; - Подготовка пилотных проектов у клиентов компании; - Выявление и анализ потребностей потенциальных заказчиков; Разработка и составление технических требований для заказчика; - участие в разработке ТЗ (проектирование систем, разработка схем и документации, ориентированной на комплексные решения); - Участие в профильных конференциях; - Участие в формировании портфеля продуктов и решений (подготовка описания и расчет новых услуг в компании); - Организация и проведение обучение сотрудников и клиентов (на первых этапах проекта); - распространение знаний о решениях и обновлениях внутри компании для руководителей проекта/сейлов;   ",Полная занятость,От 3 до 6 лет,250000.0,200000.0,ведущий пресейл менеджер/presales engineer,2020-10-14T19:08:18+0300,"Требования: - опыт работы на аналогичной должности от трех лет; - высшее техническое образование; - опыт работы в присейле маркетинговых продуктов (CRM, программы лояльности, кросс-канальные коммуникации и т.д.); - презентабельность и коммуникационные навыки; - английский технический (intermediate); ",Полный день,"[{'name': 'Управление проектами'}, {'name': 'Проведение презентаций'}, {'name': 'Активные продажи'}, {'name': 'Подготовка презентаций'}, {'name': 'CRM'}, {'name': 'Подготовка коммерческих предложений'}, {'name': 'обучение сотрудников'}, {'name': 'Работа в команде'}, {'name': 'Оценка потребностей клиентов'}]",Условия: - оплата питания; - оплата сотовой связи; - бонусы от продаж; - корпоративный спорт;
93,93,Москва,Лаборатория Касперского,,,Полная занятость,От 1 года до 3 лет,,,software development engineer in test (kss),2020-09-17T16:41:43+0300,,Полный день,[],
107,107,Москва,АЛИБАБА.КОМ (РУ),<em>,,Полная занятость,От 3 до 6 лет,,,senior test development engineer / test development engineer,2020-10-02T23:27:09+0300,,Полный день,"[{'name': 'Testing Framework'}, {'name': 'Test case'}, {'name': 'Unit Testing'}, {'name': 'Java'}, {'name': 'SQL'}, {'name': 'Selenium IDE'}, {'name': 'QA'}]",
124,124,,Kelly Services,<em>Our client is a major international telecommunications company in connection with the opening of a new direction in the search for a test engineer</em> ,,Полная занятость,От 1 года до 3 лет,,,qa engineer (mobile apps),2020-09-24T15:31:01+0300,,Полный день,"[{'name': 'Функциональное тестирование'}, {'name': 'Тестирование пользовательского интерфейса'}, {'name': 'Проведение тестирований'}, {'name': 'Регресcионное тестирование'}, {'name': 'review'}]",
139,139,,Авито,"<em>Мы бережём здоровье сотрудников, поэтому на время пандемии все команды перешли на работу из дома. Компания предоставляет технику для удалённой работы: ноутбуки, мониторы, модемы. Также мы даём доступ к софту для продуктивного взаимодействия в команде. А ещё компенсируем расходы на питание, чтобы сотрудники меньше скучали по бесплатным обедам в офисе.</em><br /><br />Авито— самый популярный сайт объявлений в России. Мы входим в топ-5 площадок рунета, топ-3 мировых классифайдов, топ-3 самых дорогих компаний рунета. Каждый месяц на Авито бывает более 47 миллионов человек — это около четверти населения России. А чтобы просмотреть все активные объявления о товарах и услугах, понадобится 441 день! Команда DWH создает платформу для решения любых аналитических задач, например: проверить гипотезу на данных (с платформой регулярно работают и самостоятельно решают задачи больше 100 аналитиков, инженеров, продактов и десятки сервисов);сделать отчет (ежедневно обновляются тысячи аналитических отчетов);залогировать событие Clickstream (в хранилище их загружаются миллиарды ежедневно) и построить метрику (их уже почти 2000);провести A/B тест (ежедневно проходят больше 100)«По нажатию кнопки» можно сделать уже многое, но впереди не меньше новых вызовов. ",,Полная занятость,От 3 до 6 лет,,,data engineer,2020-09-17T12:31:05+0300,,Полный день,"[{'name': 'SQL'}, {'name': 'Python'}, {'name': 'Базы данных'}]",
183,183,Москва,Social Discovery Ventures,Международный Интернет-холдинг ,,Полная занятость,От 1 года до 3 лет,,,ml инженер (junior ml engineer),2020-10-07T17:05:05+0300,,Гибкий график,"[{'name': 'Python'}, {'name': 'Linux'}, {'name': 'Английский язык'}, {'name': 'SQL'}, {'name': 'Математическая статистика'}, {'name': 'MS SQL Server'}, {'name': 'Transact-SQL'}, {'name': 'Docker'}, {'name': 'Flask'}]",
197,197,,«Газпромбанк» (Акционерное общество),"Мы искренне верим, что банки не просто идут, а уже продвинулись на пути превращения из<br />консервативных организаций про деньги и бумажки в современные ИТ-компании. Мы строим ИТ внутри банка по современным методикам и применяем практики, обкатанные мировыми<br />трендсеттерами индустрии. ","Обязанности: Создание сервисов CI, CD и АТ, их актуализация под требования новых технологий, в составе новых АС. Сопровождение сервисовКонсультации DevOps инженеров АС по использованию сервисов и внедрению практик DevOps.Проведение ассесментов.Проведение обучения ​​​​​​ ",Полная занятость,От 1 года до 3 лет,,,devops engineer,2020-10-15T09:20:22+0300,"Обязанности: Создание сервисов CI, CD и АТ, их актуализация под требования новых технологий, в составе новых АС. Сопровождение сервисовКонсультации DevOps инженеров АС по использованию сервисов и внедрению практик DevOps.Проведение ассесментов.Проведение обучения ​​​​​​ ",Полный день,"[{'name': 'Linux'}, {'name': 'Prometheus'}, {'name': 'CI/CD'}, {'name': 'Ansible'}, {'name': 'Nexus'}]",
208,208,,B2Broker,,,Полная занятость,От 3 до 6 лет,,,technical support engineer (l3),2020-10-14T13:52:16+0300,,Полный день,[{'name': 'Английский язык'}],
247,247,Москва,Align Technology,"We’re looking for Senior Software Engineer in Test (SDET) who will join our team and will take part in creation of world-known software products in iTero scanning business. iTero ® intraoral scanners are designed to deliver speed, reliability, intuitive operations, and outstanding visualization capabilities for general practitioners or orthodontists. iTero scans have been used in more than 1.2 million restorative crowns, bridges, and custom implant abutment cases and more than 1.3 million iTero orthodontic scans. Successful candidate will expand auto testing coverage for Scanner applications using Python-based testing automation framework.   ",,Полная занятость,От 3 до 6 лет,,,software development engineer in test (python),2020-10-05T11:08:35+0300,,Полный день,"[{'name': 'Python'}, {'name': 'Atlassian Jira'}, {'name': 'Git'}]",
