,Unnamed: 0,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
10,10,Москва,Leadtop,,,Полная занятость,От 3 до 6 лет,150000.0,,программист 1с ут,2020-10-14T12:12:19+0300,"Чем будешь заниматься Поддержка и небольшая доработка конфигурации 1С УТ 11 под бизнес требования компании. Документирование проектных изменений, вносимых в базу. Написание инструкций по работе с внедренными модулями. Анализ ошибок. Консультация и поддержка пользователей в 1С УТ 11. ",Полный день,[{'name': '1С: Управление Торговлей'}],
29,29,Москва,Home Shopping Russia,,,Полная занятость,От 1 года до 3 лет,,,php-программист,2020-10-14T11:09:39+0300,,Полный день,"[{'name': 'PHP'}, {'name': 'MySQL'}, {'name': 'PostgreSQL'}, {'name': 'ООП'}]",
39,39,,БИГ ГЕЙМ ФРИКС,,,Полная занятость,От 3 до 6 лет,150000.0,90000.0,middle unity developer / программист unity,2020-10-14T18:55:20+0300,"Требования:  Опыт разработки мобильных игр на Unity3D не менее 2 лет;  Хорошее знание C#; Умение писать читабельный код без ошибок, следуя общим стандартам программирования и особенностям проекта;  Умение разбираться в чужом коде;  Знание распространенных алгоритмов;  Знание паттернов проектирования;  Хорошее знание математической базы;  Владение системами контроля версий (git);  Английский язык на уровне чтения технической литературы.  ",Полный день,"[{'name': 'Unity'}, {'name': 'Java'}, {'name': 'Git'}, {'name': 'C#'}, {'name': 'C++'}]",
63,63,Москва,Информконтакт,,"Обязанности: Разработка программного обеспечения согласно проекту и/или техническому заданию;Решение технических проблем, возникающих в ходе разработки программного обеспечения;Сопровождение (исправление ошибок) внедренного программного обеспечения;Корректировка (доработка, реструктуризация) разработанного (внедренного) программного обеспечения на основе данных, полученных в ходе тестирования и/или эксплуатации. ",Полная занятость,От 3 до 6 лет,,100000.0,программист-разработчик sql,2020-09-28T11:14:00+0300,,Полный день,"[{'name': 'Oracle Pl/SQL'}, {'name': 'SQL'}, {'name': 'PostgreSQL'}, {'name': 'Работа с базами данных'}]",
65,65,,"ЭФКО, Управляющая компания",,Обязанности: диагностика работы адаптеров шины ESB IBM;разработка адаптеров для шины ESB IBM на языке Java;разработка интеграционных модулей для MS Integration services;разработка небольших веб-приложений на Java. ,Полная занятость,Нет опыта,,,программист java,2020-10-14T09:59:21+0300,"Требования: высшее инженерно-техническое;знание основ Java, протоколов REST, SOAP, SOA;опыт работы с форматами XML, JSON,CSV;опыт работы с XSD, XSLT, MS Integration services;язык запросов SQL и TSQL. ",Полный день,"[{'name': 'XML/Xslt'}, {'name': 'Java'}, {'name': 'SOAP'}, {'name': 'XML'}, {'name': 'REST'}]","Условия: рабочее место: Москва, ул. Овчинниковская набережная (м.Новокузнецкая);своевременная заработная плата (обсуждается по результатам интервью);сплоченная команда;возможность последующего развития и роста."
109,109,,Staffmix,,"Обязанности:  Доработка систем для автоматизации предприятий (управление складом, транспортом, производством);Обработка заявок по электронной почте, предоставление консультаций по работе ПО;Диагностика инцидентов, возникших у клиентов при эксплуатации ПО;Обновление версий ПО, установленного у заказчика.<br /><br />",Полная занятость,От 1 года до 3 лет,,,программист ms sql,2020-09-18T16:43:46+0300,"Требования:  Высшее образование;Опыт работы в разработке от 2-х лет;Знание MS SQL Server 2005-2016;Хорошее знание Transact-SQL (T-SQL);Написание хранимых процедур, функций, запросов;Умение разбираться в чужом коде. ",Полный день,[],"Условия:  Офис- м. Перово;Рабочий день с 9:00 до 18:00, оформление по ТК РФ;Предполагается рассмотреть несколько форматов работы- полностью удаленный, частичное совмещение работы из дома и офиса;Участие в уникальных для России проектах внедрения с высоким уровнем роботизации и применением инновационных решений!<br /><br />"
110,110,Зеленоград,Агропромкомплектация,,"Обязанности: Внедрение и сопровождение информационных систем на платформе 1С (Бухгалтерия, Финансист, Консолидация, Управление холдингом);Разработка нового функционала в соответствии с требованиями;Участие совместно с аналитиками в постановке задачи (составлении ТЗ) в части технической экспертизы задачи;Настройка обменов между конфигурациями и с внешними системами;Написание и доработка существующих отчетов, обработок, создание печатных форм;Участие в проектах. ",Полная занятость,От 1 года до 3 лет,,150000.0,программист 1c (финансовые системы),2020-09-29T16:14:25+0300,"Обязанности: Внедрение и сопровождение информационных систем на платформе 1С (Бухгалтерия, Финансист, Консолидация, Управление холдингом);Разработка нового функционала в соответствии с требованиями;Участие совместно с аналитиками в постановке задачи (составлении ТЗ) в части технической экспертизы задачи;Настройка обменов между конфигурациями и с внешними системами;Написание и доработка существующих отчетов, обработок, создание печатных форм;Участие в проектах. ",Полный день,"[{'name': '1С программирование'}, {'name': '1С: Бухгалтерия'}, {'name': '1С: Предприятие 8'}, {'name': 'Обновление конфигурации 1С'}]","Условия: Офис в г. Зеленоград, бизнес-центр &quot;Савелки&quot;;Оформление согласно ТК РФ;График работы 5/2 (офис);Возможность профессионального роста."
113,113,,Телекомпания «СТРИМ»,,"Обязанности: Создание и управление проектамиОбеспечение технической поддержкой существующие проектыСоблюдение конфиденциальности данныхАнализ производительности программных продуктов и принятие мер по устранению недостатков, связанных с производительностьюАнализ совместимости новых технологий с существующими разработкамиВедение учета выполненных работНаписание кода и отладка программ с использованием соответствующих программных средств и аппаратных средств, баз данных и технологий программирования, принятых в компанииУточнение требований и выпуск финальных программТестирование и разработка модификаций программОбучаемостьСтаж работы не менее 3-ех лет ",Полная занятость,От 3 до 6 лет,,149425.0,разработчик-программист приложений (со знанием языка программирования unity),2020-10-14T17:07:25+0300,Требования:  Опыт работы в сфере кино- телепроизводства  Знать в совершенстве язык программирования Unity  Высшее образование  ,Полный день,[],Условия: График работы 5/2 с 10 .00 до 19.00
122,122,Москва,"НАМИ, ФГУП",,"Обязанности: Разработка математических моделей систем управления кузовной электроникой в среде MATLAB Simulink;Разработка встраиваемого ПО микроконтроллеров на С;Проведение калибровочных работ и испытаний;Разработка ТЗ, ТТ, ТУ, ТТК по ЕСКД, ГОСТ, ОСТ и др. стандартам;Разработка электрических принципиальных схем и схем соединений оборудования;Внутрисхемная отладка драйверного и прикладного ПО;Проведение тестов программных модулей на соответствие стандартам и требованиям;Составление отчетных документов по результатам выполненных работ. ",Полная занятость,От 1 года до 3 лет,,,инженер-программист /инженер-электроник,2020-09-21T16:29:29+0300,"Обязанности: Разработка математических моделей систем управления кузовной электроникой в среде MATLAB Simulink;Разработка встраиваемого ПО микроконтроллеров на С;Проведение калибровочных работ и испытаний;Разработка ТЗ, ТТ, ТУ, ТТК по ЕСКД, ГОСТ, ОСТ и др. стандартам;Разработка электрических принципиальных схем и схем соединений оборудования;Внутрисхемная отладка драйверного и прикладного ПО;Проведение тестов программных модулей на соответствие стандартам и требованиям;Составление отчетных документов по результатам выполненных работ. ",Полный день,[],"Условия: График работы 5/2, с 9.00 до 18.00;Оформление по ТК РФ (трудовая книжка, стабильная белая заработная плата, отпуск и т.д.);Находимся между м. Петровско-Разумовская и м. Водный стадион, в шаговой доступности от МЦК Лихоборы"
131,131,Москва,"Единая электронная торговая площадка, АО (группа ВТБ)",,"Обязанности: Развитие функционала площадки;Повышение надежности и отказоустойчивости систем;Сопровождение существующих систем;Проработка вопросов безопасности, защита от НСД и уменьшение объема НДВ (по запросам СБ) ",Полная занятость,От 3 до 6 лет,,,php-программист,2020-10-14T16:18:32+0300,"Требования: Опыт разработки и сопровождения продукта на PHP в команде от 3 лет;Опыт работы с Zend Framework, Symfony, Yii (либо с аналогичным фреймворком) от полугода;Хорошее знание SQL, сложных запросов, знание оптимизации SQL-запросов;Знание PostgreSQL последних версий является плюсом;Знание и понимание принципов криптографии и работы с электронной подписью приветствуется ",Полный день,"[{'name': 'PHP'}, {'name': 'Zend Framework'}, {'name': 'PostgreSQL'}, {'name': 'Symfony'}, {'name': 'Ext JS'}, {'name': 'Drupal API'}]","Условия: Команда профессионалов;Работа в Scrum команде;Корпоративное обучение, выставки, участие в конференциях (при необходимости);Фиксированный оклад обсуждается индивидуально (есть бонусная система);Официальное оформление и стабильный доход;Социальные гарантии в соответствии с законом;График работы 5\2 (с 9 до 18);Возможность профессионального и карьерного роста;Отсутствие дресс-кода"
